timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
43,,,,,0.0,13971951.353427012,1.0,0.9999999934491306,29,
86,,,,,0.0,9452395.47087941,1.0,0.9999999900418947,21,
129,,,,,0.0,4573225.60665603,1.0,0.9999999931400336,9,
172,,,,,0.0,4981578.160705345,1.0,1.0,10,
215,,,,,0.0,3209255.4995436887,1.0,0.9999999886501093,5,
258,,,,,0.0,4156399.8036063174,1.0,0.9999999854222532,4,
301,,,,,0.0,1289173.4078116072,1.0,0.9999999924838617,1,
344,,,,,0.0,1528058.9724598122,1.0,0.999999997797408,2,
387,,,,,0.0,1747483.341969342,1.0,0.9999999971338207,2,
430,,,,,0.0,638203.6427675523,1.0,0.9999999896367681,0,
473,,,,,0.0,1765694.4178143216,1.0,0.9999999900770719,2,
516,,,,,0.0,2074920.1354102155,1.0,0.9999999959537932,2,
559,,,,,0.0,1677740.210157048,1.0,0.9999999883265165,2,
602,,,,,0.0,740117.5409370593,1.0,0.999999987332631,0,
645,,,,,0.0,673463.0134506557,1.0,0.9999999890100345,0,
688,,,,,0.0,764767.0534431307,1.0,0.9999999954991959,0,
731,,,,,0.0,1879840.202239079,1.0,0.9999999845366732,2,
776,,,,,0.0,1154681.1493885373,1.0,0.9999999906356033,1,
821,,,,,0.0,1095392.0408216997,1.0,0.9999999946344782,1,
866,,,,,0.0,1671403.331779846,1.0,0.9999999963919455,2,
911,,,,,0.0,2162669.7155401693,1.0,0.9999999837654205,2,
956,,,,,0.0,817689.1835245138,1.0,0.9999999666168209,0,
999,,,,,0.0,1261263.221925663,1.0,0.9999999818261709,1,
1044,,,,,0.0,1453990.8946581986,1.0,0.9999999881905891,1,
1089,,,,,0.0,829125.6513297954,1.0,0.9999999713385576,0,
1134,,,,,0.0,1114353.0946111677,1.0,0.9999999979649575,1,
1179,,,,,0.0,1216291.5510145524,1.0,0.9999999914170803,1,
1224,,,,,0.0,1378120.186535388,1.0,0.9999999988624788,1,
1269,,,,,0.0,830202.3139233708,1.0,0.9999999816060899,0,
1314,,,,,0.0,792126.3651609106,1.0,0.9999999954527673,0,
1359,,,,,0.0,844029.4069143767,1.0,0.9999999561775735,0,
1404,,,,,0.0,803698.3674738712,1.0,0.9999999929755673,0,
1449,,,,,0.0,843046.4961641923,1.0,0.9999999855245634,0,
1492,,,,,0.0,1177237.8187121921,1.0,0.9999999890080047,1,
1537,,,,,0.0,1842266.677193257,1.0,0.9999999924029997,2,
1582,,,,,0.0,1293519.2839295021,1.0,0.9999999842654669,1,
1627,,,,,0.0,810873.3426457603,1.0,1.0,0,
1672,,,,,0.0,1435833.330736164,1.0,0.9999999919909602,1,
1717,,,,,0.0,801785.7913061653,1.0,0.9999999555112301,0,
1762,,,,,0.0,846863.4286675268,1.0,1.0,0,
1807,,,,,0.0,808883.0637179805,1.0,0.9999999903626128,0,
1852,,,,,0.0,847397.6016650234,1.0,0.9999999892849363,0,
1897,,,,,0.0,804658.3436205961,1.0,0.9999999823589749,0,
1942,,,,,0.0,845765.3726995649,1.0,0.9999999993755281,0,
1985,,,,,0.0,697398.1061950992,1.0,1.0,0,
2032,,,,,0.0,2076022.8833072376,1.0,0.9999999809150519,3,
2075,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,591366.2166267474,1.0,0.9999999917519071,0,
2118,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,678540.8492132435,1.0,0.999999982660674,0,
2161,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,598726.7891217612,1.0,1.0,0,
2204,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,670972.586741475,1.0,0.9999999925215893,0,
2247,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,10982755.8743837,1.0,0.9999999949976989,29,
2290,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,10245681.193278115,1.0,0.9999999821738761,20,
2333,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,7059370.958199288,1.0,0.9999999860545088,11,
2376,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,4174824.998649132,1.0,0.9999999803086247,5,
2419,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,6482438.8977968525,1.0,0.9999999875552499,9,
2462,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,2018982.9146109982,1.0,0.9999999935844687,3,
2505,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,2247270.8138761884,1.0,0.9999999809535979,3,
2548,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,2096116.908421761,1.0,0.9999999838730698,3,
2591,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,1139542.726623477,1.0,0.9999999982879882,1,
2634,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,630781.2118395013,1.0,0.9999999909152,0,
2677,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,1903511.4095868352,1.0,0.9999999771744542,3,
2720,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,615390.9080495915,1.0,0.9999999946158719,0,
2763,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,641119.5542190014,1.0,0.9999999965566868,0,
2806,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,2497216.576542342,1.0,0.9999999972036954,2,
2849,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,666974.2518236714,1.0,0.9999999626560789,0,
2892,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,2502914.2697360944,1.0,0.9999999808439562,3,
2935,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,1260443.2226226353,1.0,0.9999999863713607,1,
2978,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,768647.9084769639,1.0,0.9999999867687739,0,
3021,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,1311834.2906120196,1.0,0.9999999826708934,2,
3064,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,775739.5138800297,1.0,0.999999981361265,0,
3107,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,739268.5982770706,1.0,0.9999999976006204,0,
3150,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,792577.8466466274,1.0,0.9999999653561674,0,
3193,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,2463966.519384531,1.0,0.9999999967370836,2,
3236,,0.01062384620308876,0.061083984375,-1.9386770907789468,0.0,1933141.5363784456,1.0,0.9999999969121796,2,
