timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
344,,,,,0.07385378160861256,14503234.009893931,1.0,0.9999999736221856,34,
344,,,,,0.07428170420299217,14118855.353743691,1.0,0.9999999736221856,31,
344,,,,,0.07773436062976447,11017529.424938133,1.0,0.9999999736221856,24,
344,,,,,0.07406752080891396,14299495.29110829,1.0,0.9992051999730696,33,
344,,,,,0.07131331208782009,16799008.75499952,1.0,0.9999999962858012,37,
344,,,,,0.07304607529103879,15229014.89013044,1.0,0.9999999801046268,30,
688,,,,,0.0725182594649505,15711082.59817909,1.0,0.999999982874042,36,
688,,,,,0.07866816982711036,10180542.512176275,1.0,0.9999999986820659,21,
688,,,,,0.07514300525747068,13345428.70108917,1.0,0.9999999801046268,30,
688,,,,,0.08332987102424345,5540377.180150402,1.0,0.9748888612326313,13,
1032,,,,,0.07626077683192392,12347630.2856477,1.0,0.999999982874042,32,
1032,,,,,0.07429466324881558,14107214.976058539,1.0,0.9999999736221856,29,
1032,,,,,0.08579829815615575,3774818.6800001874,1.0,0.9999999993662835,9,
1032,,,,,0.07398372925480644,14386509.391306538,1.0,0.9999999736221856,31,
1032,,,,,0.07902890578997275,9854883.956913745,1.0,0.9999999987333534,18,
1032,,,,,0.0840845308948509,5313623.017052298,1.0,0.9999999847795655,9,
1376,,,,,0.05460560545218314,10967768.096887885,0.8914121106822817,0.05746602770818281,26,
1376,,,,,0.0712021097755036,16885373.487571117,1.0,0.9999999801046268,35,
1376,,,,,0.08069500235703553,8362530.425292531,1.0,0.9999999926886574,18,
1376,,,,,0.0807801618680117,8281658.721575316,1.0,0.9999999863164402,17,
1376,,,,,0.08545976720693844,4078955.4666964817,1.0,0.9999999880110932,6,
1376,,,,,0.0785776097023297,10260086.719220622,1.0,0.9999999863164402,21,
1376,,,,,0.08037983592779917,8641398.568099078,1.0,0.9999999847795655,14,
1376,,,,,0.08784069804708625,1939612.2681155538,1.0,0.9999999934112973,5,
1720,,,,,0.08146043928579212,7676917.196149892,1.0,1.0,17,
1720,,,,,0.08161174844504515,7534822.328036684,1.0,0.9999999987333534,13,
1720,,,,,0.08132138941654354,7799587.810621727,1.0,1.0,14,
1720,,,,,0.08192928188815825,7249469.29404186,1.0,0.9999999903980862,12,
1720,,,,,0.08856651144658693,1287849.2272956152,1.0,0.9999999879147656,2,
1720,,,,,0.08662196679849087,2898641.432701727,1.0,0.992448891289852,7,
1720,,,,,0.08520511169213786,4307051.39945369,1.0,0.9999999934112973,7,
1720,,,,,0.08687966473219899,2802869.182482224,1.0,0.9999999990742935,4,
2064,,,,,0.08161827551655249,7535025.0915144645,1.0,0.9999999962986362,12,
2064,,,,,0.08480555883581081,4665953.18866222,1.0,0.9999999847795655,8,
2064,,,,,0.08586577307609454,3715487.129184548,1.0,1.0,7,
2064,,,,,0.08570511744880738,3857849.7721440666,1.0,0.9999999869753621,6,
2064,,,,,0.08411466236948803,4688217.958054385,1.0,0.9666528559395108,8,
2064,,,,,0.0863617245685292,3268056.745058749,1.0,0.9999999869753621,5,
2064,,,,,0.08777790530917423,1996016.5110475416,1.0,0.9999999990742935,3,
2064,,,,,0.08514472454814673,4361294.775478384,1.0,0.999999997930583,7,
2408,,,,,0.08530216000820519,3709617.9800361255,1.0,0.971431106141575,8,
2408,,,,,0.08431389383386173,5107595.850698434,1.0,0.9999999934112973,9,
2408,,,,,0.08564903694430911,3910270.603559801,1.0,0.9999999835286204,5,
2408,,,,,0.08810090228860587,1705851.1629002718,1.0,0.9999999517468117,2,
2408,,,,,0.08587546778785325,3704833.0675361264,1.0,0.9999999517468117,5,
2408,,,,,0.08738542065634546,2348569.357460126,1.0,0.999999997930583,3,
2752,,,,,0.08545451692023148,4086310.2699798224,1.0,0.9999999832465337,6,
2752,,,,,0.08766533602489052,2098194.824706741,1.0,0.9999999944208072,3,
2752,,,,,0.08826524365028057,1558233.2219241066,1.0,0.9999999854988063,3,
2752,,,,,0.07374826329623628,14595932.358144771,1.0,0.9999999784627615,32,
2752,,,,,0.08818146391013272,1633487.8225308661,1.0,0.9999999854988063,3,
2752,,,,,0.0737458572715128,14590027.770029489,1.0,0.9994350618382384,34,
3096,,,,,0.08586110842359998,3720791.8509204695,1.0,1.0,5,
3096,,,,,0.07472389487390999,13732953.960682973,1.0,1.0,30,
3096,,,,,0.08787571910867338,1909120.4332781013,1.0,0.9999999836594731,3,
3096,,,,,0.08795748955989213,1180621.2856366553,1.0,0.9635928152963477,1,
3096,,,,,0.08372182758610386,5638522.453636656,1.0,1.0,10,
3096,,,,,0.08621599123044191,3398960.991560026,1.0,1.0,4,
3096,,,,,0.07518889711678609,13314924.930346973,1.0,0.9999999962858012,29,
3096,,,,,0.07886466498383989,10002241.200435447,1.0,0.9999999863164402,20,
3440,,,,,0.08613010445364039,3478969.060248604,1.0,0.9999999989949849,4,
3440,,,,,0.0799011716118323,9078671.700586556,1.0,0.9999999926886574,17,
3440,,,,,0.08637686624689955,3256160.6014219327,1.0,1.0,4,
3440,,,,,0.08701333613069889,2682750.8203549054,1.0,0.999999980054286,4,
3440,,,,,0.08448025166760409,4957369.88261706,1.0,0.9999999816608706,9,
3440,,,,,0.08801274986392703,1785034.007169907,1.0,0.999999980054286,2,
3440,,,,,0.07981443380408981,9156647.619099347,1.0,1.0,17,
3440,,,,,0.08352885326364186,5812664.825663275,1.0,0.9999999903980862,10,
3784,,,,,0.08817916789709118,1636895.9162997475,1.0,0.9999999659886787,2,
3784,,,,,0.0847810192367789,4691773.119880675,1.0,0.9999999885824093,10,
3784,,,,,0.08727482986780295,2449147.6321595185,1.0,0.9999999667671695,3,
3784,,,,,0.08644989250019494,3188860.605515808,1.0,0.9999999939465039,4,
3784,,,,,0.0860961079722046,2787653.120039408,1.0,0.9600000179599776,6,
3784,,,,,0.08859018225428045,1266359.4096156172,1.0,0.9999999939465039,1,
3784,,,,,0.08168935619307831,7471124.794274677,1.0,0.9999999962986362,14,
3784,,,,,0.08289760692338771,6379677.637889233,1.0,0.9999999869753621,9,
4128,,,,,0.0872839358242406,2441694.527938209,1.0,0.9999999927714697,2,
