timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
34,,,,,0.048138679052434734,5737043.370687498,0.8511131196451236,0.08445163887047122,21,
68,,,,,0.0837309920152925,2044093.0258131858,1.0,0.9999999804294817,12,
102,,,,,0.08116370123152251,758594.6983666879,0.9994845200903373,0.6755423300379797,3,
136,,,,,0.8861544657321484,451451.9279520668,1.0,0.9999999892564292,2,
170,,,,,0.08592682023494258,1328114.2025725285,1.0,0.9999999919293222,4,
204,,,,,0.895545719294019,145237.6510455827,1.0,0.9999999883720168,1,
238,,,,,0.8914889926523124,277512.5797058753,1.0,0.9999999851573862,1,
272,,,,,0.8915879435258084,274286.1619274106,1.0,0.9999999861722315,1,
306,,,,,0.8676409350309976,1055110.1586182425,1.0,0.9999999925063431,3,
340,,,,,0.08378213116574385,2027418.38322652,1.0,0.999999973575397,7,
374,,,,,0.0844186076009873,1819886.8704809414,1.0,0.9999999836807377,5,
408,,,,,0.899998180522656,59.26947296364338,1.0,0.9999999912597198,0,
442,,,,,0.8999981815108063,59.192276552007264,1.0,0.9999999843628288,0,
476,,,,,0.8851565943783533,483988.8209693584,1.0,0.9999999853890061,1,
510,,,,,0.8826829928509327,564643.9217391477,1.0,0.9999999921421191,1,
544,,,,,0.887135452071892,419465.6062492777,1.0,0.99999999512486,1,
579,,,,,0.8775973247764723,730468.8818721642,1.0,0.9999999938536754,1,
614,,,,,0.8950509669107335,161369.69246248135,1.0,0.9999999859386656,1,
649,,,,,0.8915879291003359,274286.5516670333,1.0,0.9999999738092877,1,
684,,,,,0.8841671328407255,516251.4816521125,1.0,0.9999999785880095,1,
719,,,,,0.8742727361905464,838871.4483720408,1.0,0.9999999859847004,2,
754,,,,,0.8999981683847722,59.56162220329233,1.0,0.9999999753697738,0,
789,,,,,0.899998170143714,59.55975891161717,1.0,0.9999999838787577,0,
824,,,,,0.899998179676577,59.25477255044843,1.0,0.9999999847750983,0,
859,,,,,0.899998169681014,59.565228341949705,1.0,0.9999999824039648,0,
894,,,,,0.8999981776202659,59.315388383950236,1.0,0.9999999837886465,0,
929,,,,,0.8999981589287916,59.92377101958454,1.0,0.9999999836233929,0,
964,,,,,0.8999981672284345,59.73448422997814,1.0,0.9999999960955228,0,
999,,,,,0.8999981782479178,59.29341706545161,1.0,0.9999999835577255,0,
1034,,,,,0.8999981630491172,59.81983163565329,1.0,0.9999999882864898,0,
1069,,,,,0.899998171074627,59.50869985011284,1.0,0.9999999807036976,0,
1104,,,,,0.8999981715166367,59.49383517491151,1.0,0.9999999806343305,0,
