timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
238,,,,,0.7857338341502605,6277615.022168878,,0.19950108217005852,22,
238,,,,,0.13101787256384087,5509886.322168877,,0.5140865740823355,21,
238,,,,,0.8397872394438013,4744329.122168878,,0.5141561681224047,22,
238,,,,,0.9057602140474361,2593192.8221688773,,0.5141561681224047,15,
238,,,,,0.7182625935426596,5691786.510187772,,0.09410242169243282,21,
238,,,,,0.0962956521069765,6642050.322168877,,0.5141561681224047,21,
238,,,,,0.7611210045312392,5605003.910187772,,0.10024935899798687,21,
476,,,,,0.9099784300650937,2018589.6830905396,,0.6696190625854012,10,
476,,,,,0.8637413509240441,3921738.7772503076,,0.8472034832720887,13,
476,,,,,0.8797428756267872,3458161.2830905393,,0.9999999808426023,12,
476,,,,,0.8390727278377934,2674705.6830905396,,0.2258961943658476,10,
476,,,,,0.852371169488547,3816585.472421101,,0.6036140913018271,12,
476,,,,,0.8973383562495085,2157281.9830905395,,0.9999999808426023,11,
714,,,,,0.9157522375516812,1879061.622586064,,0.9999999804194244,6,
714,,,,,0.8698386008599972,2276390.522586064,,0.2165971845354146,8,
714,,,,,0.896936151363054,1785180.122586064,,0.22109620709165378,7,
714,,,,,0.8863434569118919,2414295.422586064,,0.22109620709165378,9,
714,,,,,0.9034336324405047,1133657.6094079905,,0.14678661405219165,4,
714,,,,,0.9209982186708865,1536915.222586064,,0.9999999804194244,8,
714,,,,,0.8119673523750759,4759951.30940799,,0.1537316048303722,22,
952,,,,,0.8699497947475023,2166394.928729879,,0.9999999831762125,8,
952,,,,,0.9027226564572135,1960449.2607835154,,0.9999999849537458,5,
952,,,,,0.922097147038587,2129654.6607835153,,0.6581245677362317,7,
952,,,,,0.8795217664859003,1909772.1398083037,,0.999999982360638,6,
952,,,,,0.9457661746871241,978671.6607835153,,0.9999999849537458,4,
952,,,,,0.8652190712681037,3639089.3738936726,,0.3727200638202109,13,
1190,,,,,0.8590721086069603,4187410.4448569505,,0.10086188336397864,20,
1190,,,,,0.9228825364395353,1111305.7988422466,,1.0,4,
1190,,,,,0.9097393267815161,1355063.7988422466,,0.9550419975069351,3,
1190,,,,,0.9612224910618881,826429.362242394,,0.42926982125024815,3,
1190,,,,,0.9202092724117601,822740.3448569507,,0.10095540129739344,3,
1190,,,,,0.9712356869508065,485037.36224239395,,0.9999999909087428,3,
1428,,,,,0.8618426795119777,3243824.3772503072,,0.16430026745601728,11,
1428,,,,,0.923581016680509,871133.4836925769,,0.9999999873283459,4,
1428,,,,,0.9734459020076032,278714.5154046984,,1.0,2,
1428,,,,,0.9700588152525358,736391.3362641528,,0.9999999827851312,3,
