timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_success
344,,,,,0.43660365158614756,11389069.89597824,1.0,0.9999999736221856,30,,3000000.0,True,True
344,,,,,0.4103976805856559,16099786.277788268,1.0,0.9999999970462644,32,,3000000.0,True,True
344,,,,,0.42045989375257803,14289522.528618844,1.0,0.9999999801046268,27,,3000000.0,True,True
344,,,,,0.41820298861045696,14694979.594303215,1.0,0.9999999801046268,30,,3000000.0,True,True
344,,,,,0.4253048890595972,12900589.207564272,1.0,0.9805159561339868,27,,3000000.0,True,True
344,,,,,0.41980192365566704,14419336.256596202,1.0,0.9999999962858012,34,,3000000.0,True,True
688,,,,,0.4477600373734887,9384840.574183013,1.0,1.0,17,,1000000.0,True,True
688,,,,,0.45977418344819404,7227793.36055332,1.0,0.9999999986820659,19,,1000000.0,True,True
688,,,,,0.4456084108659989,9771546.725450847,1.0,0.9999999987333534,19,,1000000.0,True,True
688,,,,,0.4549466411751045,8093916.864473852,1.0,0.9999999987333534,18,,1000000.0,True,True
688,,,,,0.4289527124860616,12770236.256284237,1.0,0.999999982874042,26,,3000000.0,True,True
688,,,,,0.4634623671559178,6567375.375710374,1.0,0.9999999926886574,13,,1000000.0,True,True
688,,,,,0.4503195664128663,8932369.888364369,1.0,1.0,19,,1000000.0,True,True
688,,,,,0.42350890782693973,13752833.341921661,1.0,0.9999999962858012,31,,3000000.0,True,True
1032,,,,,0.45920962029647217,7327938.061803412,1.0,1.0,11,,1000000.0,True,True
1032,,,,,0.46432485168269955,6410127.197607516,1.0,0.9999999993662835,11,,1000000.0,True,True
1032,,,,,0.4776743403240802,4010844.482136329,1.0,0.9999999847795655,10,,1000000.0,True,True
1032,,,,,0.4629507585894631,6659333.319907954,1.0,0.9999999926886574,16,,1000000.0,True,True
1032,,,,,0.46787226482173916,5759504.317803411,1.0,0.9993714676375741,8,,1000000.0,True,True
1032,,,,,0.4501337685625786,8965775.698326197,1.0,1.0,18,,1000000.0,True,True
1376,,,,,0.46726358024408693,5881054.399677975,1.0,0.9999999869753621,8,,1000000.0,True,True
1376,,,,,0.4699101251946842,5406562.353519235,1.0,0.9999999880110932,8,,1000000.0,True,True
1376,,,,,0.4693019657447701,5514956.857686429,1.0,0.9999999934112973,8,,1000000.0,True,True
1376,,,,,0.42981525736092047,12618973.538060796,1.0,0.9999999962858012,30,,3000000.0,True,True
1376,,,,,0.4631646375493511,6620890.011120082,1.0,0.9999999885824093,13,,1000000.0,True,True
