timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_success
272,,,,,0.0561846312090354,4504479.8,0.9999864265044003,0.0,17,,1500000.0,True,True
272,,,,,0.054699006433207624,4497060.962744239,0.8989361664123592,0.08445163887047122,20,,1500000.0,True,True
272,,,,,0.05621406080928801,4755682.370687498,0.9444000297202612,0.10077374366790662,18,,1500000.0,True,True
272,,,,,0.057807029349775566,5637140.870687498,0.9802495328979415,0.19618455362561488,23,,1500000.0,True,True
272,,,,,0.05171648727097884,4974154.370687499,0.860953007346956,0.08445163887047122,18,,1500000.0,True,True
272,,,,,0.04943404541660876,4522067.870687498,0.7642624939911495,0.09107428238878397,20,,1500000.0,True,True
272,,,,,0.04712726816748486,5274223.1706874985,0.7642624939911495,0.09107428238878397,20,,1500000.0,True,True
272,,,,,0.056295952614195566,6129847.470687498,0.9802495328979415,0.19618455362561488,22,,1500000.0,True,True
544,,,,,0.08932414018233373,3480984.3258131854,1.0,0.9999999804294817,14,,500000.0,True,True
544,,,,,0.07255142463951247,3239620.225813186,0.9953328411568597,0.4224556164690894,12,,500000.0,True,True
544,,,,,0.07098360915313749,1856551.0258131858,0.9780797773859942,0.251808501537583,7,,500000.0,True,True
544,,,,,0.07479725247474998,2455672.6258131857,0.9952147966089703,0.4173312462877971,11,,500000.0,True,True
816,,,,,0.09267459982605859,2388529.1983666876,1.0,0.9999999837596102,8,,500000.0,True,True
816,,,,,0.09378788985914788,2025540.6983666879,1.0,0.9999999837596102,8,,500000.0,True,True
816,,,,,0.08375887142799866,3027186.1983666876,0.9981861749107444,0.7705156742678085,12,,500000.0,True,True
816,,,,,0.06083153765973187,4336561.6706874985,0.9373312587483145,0.2212681031143849,20,,1500000.0,True,True
816,,,,,0.08853456387246593,2029031.798366688,0.9996250902032502,0.8257458912058402,6,,500000.0,True,True
816,,,,,0.06176420581695228,4669061.570687499,0.970790232205946,0.24173642632289694,23,,1500000.0,True,True
1088,,,,,0.09534144982487974,1518972.7279520668,1.0,0.9999999892564292,6,,500000.0,True,True
1088,,,,,0.09733570490422994,868728.6279520667,1.0,0.9999999892564292,3,,500000.0,True,True
1088,,,,,0.09576488761322058,1380914.4279520668,1.0,0.9999999892564292,7,,500000.0,True,True
1088,,,,,0.06925817347636763,2103034.5258131856,0.9732999632347485,0.22586498707400893,7,,500000.0,True,True
1088,,,,,0.09766816861520755,760324.4279520668,1.0,0.9999999892564292,3,,500000.0,True,True
1088,,,,,0.071194595565216,1841578.7258131858,0.9877792311911545,0.244378163840014,8,,500000.0,True,True
1088,,,,,0.04358384276631671,5294212.1706874985,0.6699348643959842,0.10077374366790662,19,,1500000.0,True,True
1088,,,,,0.05506998014134389,5727867.470687498,0.9684152958257566,0.13000351156775328,22,,1500000.0,True,True
1360,,,,,0.09289478995629719,2316733.8025725284,1.0,0.9999999919293222,8,,500000.0,True,True
1360,,,,,0.09226188527074908,2523114.8025725284,1.0,0.9999999919293222,6,,500000.0,True,True
1360,,,,,0.9896851369895152,336329.70257252845,1.0,0.9999999919293222,3,,500000.0,False,True
1360,,,,,0.07208940196911293,2316512.2983666877,0.9851094804654807,0.32631700570313954,6,,500000.0,True,True
1360,,,,,0.09335213691302072,2167623.8025725284,1.0,0.9999999919293222,6,,500000.0,True,True
1360,,,,,0.07188094701807511,2384481.7983666877,0.9851094804654807,0.32631700570313954,8,,500000.0,True,True
1360,,,,,0.058982252075314226,1475266.0258131858,0.765602624652127,0.09608750285544132,8,,500000.0,True,True
1360,,,,,0.07065521443256467,2842627.6258131857,0.996808053931868,0.3166972436474817,9,,500000.0,True,True
1632,,,,,0.9936217889843089,207968.6510455827,1.0,0.9999999883720168,1,,500000.0,False,True
1632,,,,,0.09765847346652218,763485.6510455827,1.0,0.9999999883720168,3,,500000.0,True,True
1632,,,,,0.08328460558717315,815632.6279520667,0.9975639081613838,0.5294501488417326,4,,500000.0,True,True
1632,,,,,0.09630920889186298,1203431.2510455828,1.0,0.9999999883720168,3,,500000.0,True,True
1632,,,,,0.08686511751278132,1037452.9279520668,0.9996495050807432,0.6686963626635692,4,,500000.0,True,True
1632,,,,,0.061831143807116545,3027615.1983666876,0.952313289563221,0.10079912388937277,11,,500000.0,True,True
1632,,,,,0.09044565002996122,3115322.2983666877,1.0,0.9999999837596102,8,,500000.0,True,True
1904,,,,,0.9826828709960924,564644.3797058753,1.0,0.9999999851573862,2,,792031.3489544173,False,True
1904,,,,,0.09826829759243907,564644.3797058753,1.0,0.9999999851573862,1,,500000.0,True,True
1904,,,,,0.05710259443494811,4812066.870687498,0.7990736537675521,0.3299242003035063,21,,1500000.0,True,True
1904,,,,,0.09197983570400013,2615080.8025725284,1.0,0.9999999919293222,7,,500000.0,True,True
1904,,,,,0.09737780166892288,855002.3797058753,1.0,0.9999999851573862,1,,500000.0,True,True
1904,,,,,0.08442999461854328,1894955.7025725285,0.9995552221966826,0.6753135207309897,5,,500000.0,True,True
1904,,,,,0.09683090622750723,1033324.9279520668,1.0,0.9999999892564292,4,,500000.0,True,True
1904,,,,,0.09504415016151664,1615920.4279520668,1.0,0.9999999892564292,6,,500000.0,True,True
2176,,,,,0.09729863080587671,880811.7619274105,1.0,0.9999999861722315,2,,727386.969248542,True,True
2176,,,,,0.09616079127179855,1251824.7619274107,1.0,0.9999999861722315,2,,500000.0,True,True
2176,,,,,0.09176137522282671,2686312.6258131857,1.0,0.9999999804294817,9,,500000.0,True,True
2176,,,,,0.09737330793996399,856467.6510455827,1.0,0.9999999883720168,3,,500000.0,True,True
2176,,,,,0.09741737996387144,842097.3619274105,1.0,0.9999999861722315,2,,500000.0,True,True
2176,,,,,0.09351308916941267,2115143.1510455827,1.0,0.9999999883720168,7,,500000.0,True,True
2176,,,,,0.09614618556494031,1256587.2025725285,1.0,0.9999999919293222,4,,500000.0,True,True
2176,,,,,0.9999981819012711,59.20257252843469,1.0,0.9999999919293222,0,,500000.0,False,True
2448,,,,,0.09831129525124853,550621.1586182424,1.0,0.9999999925063431,3,,500000.0,True,True
2448,,,,,0.09743342367679377,836866.1586182424,1.0,0.9999999925063431,3,,500000.0,True,True
2448,,,,,0.0922198983484503,2466948.879705875,1.0,0.9928586050737725,8,,500000.0,True,True
2448,,,,,0.991093215202044,290417.3797058753,1.0,0.9999999851573862,1,,500000.0,False,True
2448,,,,,0.9999981834224067,59.15861824238238,1.0,0.9999999925063431,0,,500000.0,False,True
2448,,,,,0.09616169714600938,1251529.3797058754,1.0,0.9999999851573862,4,,500000.0,True,True
2448,,,,,0.9860470949470478,454952.85104558273,1.0,0.9999999883720168,2,,500000.0,False,True
2448,,,,,0.9914890144796469,277511.85104558273,1.0,0.9999999883720168,1,,999940.7974274715,False,True
2720,,,,,0.9999981739105079,59.28322651983097,1.0,0.999999973575397,0,,500000.0,False,True
2720,,,,,0.9851565751962543,483989.2832265198,1.0,0.999999973575397,1,,500000.0,False,True
2720,,,,,0.09408111248548073,1929931.6279520667,1.0,0.9999999892564292,7,,500000.0,True,True
2720,,,,,0.9827444740438687,562639.1619274105,1.0,0.9999999861722315,2,,709582.6202941247,False,True
2720,,,,,0.9969975291603392,97899.28322651984,1.0,0.999999973575397,1,,999940.8413817576,False,True
2720,,,,,0.09599117689620958,1132455.6279520667,1.0,0.9821431085629847,2,,500000.0,True,True
2720,,,,,0.9935668149895891,209762.37970587533,1.0,0.9999999851573862,2,,545047.1489544173,False,True
2720,,,,,0.9737780166892287,855002.3797058753,1.0,0.9999999851573862,1,,1222428.9463818888,False,True
2992,,,,,0.97724092139633,742085.2704809414,1.0,0.9999999836807377,2,,999940.7167734802,False,True
2992,,,,,0.9999981773440196,59.27048094135792,1.0,0.9999999836807377,0,,516010.7167734802,False,True
2992,,,,,0.09742727460912085,838871.2169453185,1.0,1.0,2,,500000.0,True,True
2992,,,,,0.9985140235498796,48452.158618242385,1.0,0.9999999925063431,1,,646943.4583667142,False,True
2992,,,,,0.9891208400847227,354729.27048094134,1.0,0.9999999836807377,2,,1402041.5581552377,False,True
