timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,cumulative_budget,debt_penalty_applied,base_reward,simulation_success
34,,,,,-17.35416244031646,3277387.0700135976,0.4874265619633512,0.08417160180023393,14,,1500000.0,-1777387.0700135976,17.773870700135976,0.4197082598195145,True
68,,,,,-50.243921989062585,2820585.9462432982,0.9823714067163472,0.43121289949008773,12,,-1277387.0700135976,-4097973.016256896,40.97973016256896,0.7358081735063808,True
102,,,,,-41.74851952327507,4729134.270013598,0.9012855077494327,0.09115434727552126,19,,1500000.0,-3229134.270013598,32.29134270013598,0.5428231768609074,True
136,,,,,-54.756425904271396,6037393.972665411,0.9789857326902379,0.37026579191154785,22,,1500000.0,-4537393.972665411,45.373939726654115,0.6175138223827196,True
170,,,,,-46.55802996432897,5215824.970687498,0.9691560174475004,0.24173642632289694,20,,1500000.0,-3715824.9706874983,37.15824970687498,0.6002197425460105,True
204,,,,,-15.474028017095982,3106607.883015914,0.8025441787286274,0.22103123629289867,15,,1500000.0,-1606607.883015914,16.06607883015914,0.5920508130631561,True
238,,,,,-67.94573164679859,4773326.018254025,1.0,0.999999992712246,17,,-1106607.883015914,-5879933.901269939,58.79933901269939,0.8536073659007988,True
272,,,,,-45.36187626769379,5099669.322371939,0.9737055826716412,0.33911982463799445,20,,1500000.0,-3599669.322371939,35.9966932237194,0.634816956025612,True
306,,,,,-39.43895322738537,4501228.583015914,0.7766856278023638,0.3356868534650065,20,,1500000.0,-3001228.583015914,30.012285830159144,0.5733326027737715,True
340,,,,,-47.803491090366244,5338819.27266541,0.9210925707353542,0.26666767130268004,20,,1500000.0,-3838819.2726654103,38.388192726654104,0.5847016362878619,True
374,,,,,-17.14128376204325,3260106.692429016,0.5863586314903901,0.08407858878449362,18,,1500000.0,-1760106.6924290159,17.60106692429016,0.4597831622469059,True
408,,,,,-46.59614190179285,2466568.0128215393,0.9484170334629957,0.2229508352118309,11,,-1260106.6924290159,-3726674.705250555,37.26674705250556,0.6706051507127069,True
442,,,,,-38.355012924360935,4393251.870013597,0.8649458677450006,0.2208787215620466,16,,1500000.0,-2893251.8700135974,28.932518700135976,0.5775057757750378,True
476,,,,,-30.94937687779707,3639061.722371939,0.5637879716606611,0.0911038671868476,17,,1500000.0,-2139061.722371939,21.390617223719392,0.44124034592231887,True
510,,,,,-54.37974143374037,5994621.683015914,0.9577482184087285,0.2240817627478885,25,,1500000.0,-4494621.683015914,44.94621683015914,0.5664753964187672,True
544,,,,,-44.241798801220106,4976972.283015913,0.8756442596064309,0.10101520937340903,20,,1500000.0,-3476972.2830159133,34.76972283015914,0.5279240289390341,True
578,,,,,-52.7055835136603,5827157.592429017,0.951526946727656,0.2136470372921341,21,,1500000.0,-4327157.592429017,43.27157592429017,0.5659924106298658,True
612,,,,,-46.74961252883661,5225723.583015914,0.7516648439552264,0.2240817627478885,20,,1500000.0,-3725723.583015914,37.257235830159146,0.507623301322539,True
646,,,,,-42.81561345818549,4836521.1706874985,0.8791886506287419,0.15417850688062326,19,,1500000.0,-3336521.1706874985,33.36521170687499,0.5495982486895016,True
680,,,,,-8.643266432135398,2420807.172665411,0.732316129524023,0.15374108762427738,13,,1500000.0,-920807.1726654111,9.208071726654111,0.5648052945187124,True
714,,,,,-59.31807966314581,4596902.600417655,1.0,0.9999999858998574,16,,-420807.17266541114,-5017709.773083067,50.17709773083067,0.8590180676848607,True
748,,,,,-48.980672273318234,5452352.283015913,0.9225427535246371,0.13683690732859735,22,,1500000.0,-3952352.2830159133,39.52352283015914,0.5428505568409059,True
782,,,,,-32.53324333821112,3806553.2700135973,0.757211421266543,0.1538252748354468,16,,1500000.0,-2306553.2700135973,23.065532700135975,0.5322893619248519,True
816,,,,,-35.41804892319985,4087612.5726654115,0.6326494498965911,0.10126529550443193,16,,1500000.0,-2587612.5726654115,25.876125726654116,0.4580768034542689,True
850,,,,,-43.25885734214899,4879482.546077074,0.9009124606281433,0.08417160180023393,20,,1500000.0,-3379482.5460770736,33.79482546077074,0.5359681186217452,True
884,,,,,-36.73722063830611,4216711.77266541,0.5720984869989256,0.10126529550443193,19,,1500000.0,-2716711.7726654103,27.167117726654105,0.4298970883479922,True
918,,,,,-34.79918518804812,4036012.1924290163,0.8934062111154246,0.09118094136857681,16,,1500000.0,-2536012.1924290163,25.360121924290166,0.5609367362420467,True
952,,,,,-35.902186150418565,4131562.3726654113,0.5297225368103777,0.09419672838496715,16,,1500000.0,-2631562.3726654113,26.315623726654117,0.4134375762355522,True
986,,,,,-40.72412136590814,4618490.792429016,0.6854262712523198,0.09420018336320754,18,,1500000.0,-3118490.792429016,31.18490792429016,0.46078655838202154,True
1020,,,,,-54.80581200671602,6033227.392429016,0.9603501182271407,0.09118094136857681,21,,1500000.0,-4533227.392429016,45.332273924290156,0.5264619175741407,True
1054,,,,,-55.2354336790135,6085192.570013597,0.9793676384900831,0.3712370269128855,25,,1500000.0,-4585192.570013597,45.85192570013597,0.6164920211224719,True
1088,,,,,-45.627785704068906,5117880.370687498,0.8340268097843196,0.2478900616484105,20,,1500000.0,-3617880.370687498,36.17880370687498,0.5510180028060742,True
1122,,,,,-44.07808288814873,4963315.370687498,0.9157559348235587,0.13662615508606604,20,,1500000.0,-3463315.370687498,34.63315370687498,0.5550708187262535,True
1156,,,,,-52.029217779733294,5759741.892429016,0.9578752620845319,0.20565318002088506,24,,1500000.0,-4259741.892429016,42.59741892429016,0.5682011445568689,True
1190,,,,,-31.7751703068804,3724135.770687498,0.6327006175656853,0.09107428238878397,17,,1500000.0,-2224135.770687498,22.241357706874982,0.46618739999457987,True
1224,,,,,-42.74055928449653,4828219.992429016,0.8011387805365837,0.2308709844549312,20,,1500000.0,-3328219.992429016,33.28219992429016,0.5416406397936333,True
1258,,,,,-15.522196169635961,3104181.492429016,0.6328115354559869,0.20565318002088506,14,,1500000.0,-1604181.4924290162,16.04181492429016,0.5196187546541996,True
1292,,,,,-57.59326247898258,3715263.912821539,0.8819833747388096,0.20780419738085995,14,,-1104181.4924290162,-4819445.405250555,48.194454052505556,0.6011915735229749,True
1326,,,,,-38.911860283306375,4438187.622371939,0.6497896379567267,0.1540479889157358,20,,1500000.0,-2938187.622371939,29.38187622371939,0.47001594041301664,True
1360,,,,,-36.3350306963667,4182953.392429016,0.7385887505822774,0.09118094136857681,16,,1500000.0,-2682953.392429016,26.829533924290164,0.49450322792346446,True
1394,,,,,-44.38828375733313,4991024.072665411,0.8616164480628256,0.10126529550443193,22,,1500000.0,-3491024.072665411,34.910240726654116,0.5219569693209867,True
1428,,,,,-39.33397206461622,4487329.72237194,0.8717429749171623,0.09416471499892241,18,,1500000.0,-2987329.7223719396,29.873297223719398,0.5393251591031765,True
1462,,,,,-49.249597597710704,5475855.983015914,0.8036061709483824,0.1848607111050524,22,,1500000.0,-3975855.9830159144,39.75855983015915,0.5089622324484443,True
1496,,,,,-47.00190639549692,5262718.372665411,0.9383938774943044,0.3710718098793552,22,,1500000.0,-3762718.372665411,37.62718372665411,0.6252773311571954,True
1530,,,,,-39.3981053323088,4492440.422371939,0.8395691544935159,0.09416471499892241,21,,1500000.0,-2992440.422371939,29.924404223719392,0.5262988914105863,True
1564,,,,,-37.37190013035274,4291382.172665411,0.8578849037246831,0.10126529550443193,21,,1500000.0,-2791382.1726654107,27.91382172665411,0.541921596301369,True
1598,,,,,-35.30071871783475,4087502.8726654113,0.799172270515903,0.26666767130268004,19,,1500000.0,-2587502.8726654113,25.875028726654115,0.5743100088193668,True
1632,,,,,-47.25215168575238,5283721.670013597,0.9680446678505251,0.19964353782757763,22,,1500000.0,-3783721.6700135972,37.837216700135976,0.5850650143835927,True
1666,,,,,-48.238381119944584,5375205.970013597,0.7731542438678585,0.230895064319273,19,,1500000.0,-3875205.970013597,38.75205970013597,0.5136785801913911,True
1700,,,,,-17.50832223792089,3302844.392429016,0.6493007933600728,0.20565318002088506,17,,1500000.0,-1802844.392429016,18.028443924290162,0.5201216863692728,True
1734,,,,,-70.37480465357245,4819854.112821539,1.0,0.9999999813820966,16,,-1302844.392429016,-6122698.5052505545,61.22698505250555,0.8521803989330892,True
1768,,,,,-42.0866070587484,4767828.070687499,0.9264854849171624,0.22434492087519484,21,,1500000.0,-3267828.070687499,32.67828070687499,0.5916736481265914,True
1802,,,,,-37.49357826665705,4303811.770013598,0.8729657197496059,0.09115434727552126,21,,1500000.0,-2803811.770013598,28.03811770013598,0.5445394334789256,True
1836,,,,,-30.355816245382503,3587132.0700135976,0.750665892821408,0.08417160180023393,18,,1500000.0,-2087132.0700135976,20.87132070013598,0.5155044547534758,True
1870,,,,,-32.44987174196758,3804204.570687498,0.8561607185056703,0.2212681031143849,16,,1500000.0,-2304204.570687498,23.04204570687498,0.5921739649074038,True
1904,,,,,-52.277801064112495,5780867.992429016,0.9444523195021379,0.10130253594729073,22,,1500000.0,-4280867.992429016,42.80867992429017,0.5308788601776699,True
1938,,,,,-41.08416015930271,4653359.892429016,0.6619947111021374,0.09118094136857681,20,,1500000.0,-3153359.8924290156,31.533598924290157,0.4494387649874436,True
1972,,,,,-43.5703197693868,4919509.770013597,0.9421087352018562,0.329367912114103,17,,1500000.0,-3419509.770013597,34.195097700135975,0.6247779307491752,True
2006,,,,,-46.85288548840199,5241460.322371939,0.8953924376036335,0.21436852680570276,18,,1500000.0,-3741460.322371939,37.414603223719396,0.5617177353174079,True
2040,,,,,-43.643103253039236,4918033.370687498,0.894572458816378,0.10077374366790662,19,,1500000.0,-3418033.370687498,34.18033370687498,0.5372304538357502,True
2074,,0.012750913389027119,0.116064453125,-1.934801072999835,-52.948681672114375,5846558.970013597,0.9274101515017319,0.08417160180023393,21,,1500000.0,-4346558.970013597,43.46558970013597,0.5169080280215939,True
2108,,0.012750913389027119,0.116064453125,-1.934801072999835,-37.78141398514843,4331419.572665411,0.8509753472962839,0.08410486428807037,14,,1500000.0,-2831419.572665411,28.314195726654113,0.5327817415056838,True
2142,,0.012750913389027119,0.116064453125,-1.934801072999835,-18.923631776070525,3447289.2726654112,0.8243851192887524,0.08410486428807037,15,,1500000.0,-1947289.2726654112,19.472892726654113,0.5492609505835886,True
2176,,0.012750913389027119,0.116064453125,-1.934801072999835,-60.19786209365451,3638166.900417655,0.9817267133439296,0.25195838128027515,15,,-1447289.2726654112,-5085456.173083066,50.85456173083067,0.656699637176157,True
2210,,0.012750913389027119,0.116064453125,-1.934801072999835,-33.36290012790222,3885309.8830159134,0.7101811853421567,0.0842812896528495,15,,1500000.0,-2385309.8830159134,23.853098830159137,0.49019870225691037,True
2244,,0.012750913389027119,0.116064453125,-1.934801072999835,-15.795884680900448,3129786.292429016,0.6689364176006638,0.10130253594729073,14,,1500000.0,-1629786.292429016,16.29786292429016,0.5019782433897138,True
2278,,0.012750913389027119,0.116064453125,-1.934801072999835,-58.996412427378765,3850210.6128215394,0.9981329861662207,0.7412837743395041,11,,-1129786.292429016,-4979996.905250555,49.79996905250555,0.8035566251267853,True
2312,,0.012750913389027119,0.116064453125,-1.934801072999835,-39.24933094749406,4482958.770687498,0.8784093092061016,0.2212681031143849,16,,1500000.0,-2982958.770687498,29.829587706874985,0.5802567593809269,True
2346,,0.012750913389027119,0.116064453125,-1.934801072999835,-43.89961561992311,4943395.370687498,0.8892861029423652,0.10077374366790662,20,,1500000.0,-3443395.370687498,34.43395370687498,0.534338086951873,True
2380,,0.012750913389027119,0.116064453125,-1.934801072999835,-10.592562465688502,2613162.3706874982,0.7346713846915747,0.08445163887047122,12,,1500000.0,-1113162.3706874982,11.131623706874983,0.539061241186481,True
2414,,0.012750913389027119,0.116064453125,-1.934801072999835,-64.70279672352781,4917360.725813186,0.961021626953966,0.2294520473769461,16,,-613162.3706874982,-5530523.096500684,55.30523096500684,0.6024342414790312,True
2448,,0.012750913389027119,0.116064453125,-1.934801072999835,-30.436673931341566,3604866.1830159137,0.8614353028576904,0.2599034607030768,15,,1500000.0,-2104866.1830159137,21.048661830159137,0.6119878988175714,True
