timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
344,,,,,0.07452038910034639,13911740.900639884,1.0,0.999999982874042,32,,1500000.0,True,
344,,,,,0.07342512742167435,14890903.952332325,1.0,0.9999999970462644,32,,1500000.0,True,
344,,,,,0.07304526153038364,14025339.427331286,1.0,0.9325636651274897,32,,1500000.0,True,
344,,,,,0.050037083967251574,12753856.560816001,0.8558875486359727,0.0,32,,1500000.0,True,
344,,,,,0.07547767079863721,13010720.667575281,1.0,0.9981148745459587,29,,1500000.0,True,
344,,,,,0.07345923547408077,14492482.41664657,1.0,1.0,30,,1500000.0,True,
344,,,,,0.0765968714524785,12041401.751381326,1.0,0.9999999970462644,31,,1500000.0,True,
344,,,,,0.07304278398491248,14499172.323707288,1.0,0.9592100174256205,30,,1500000.0,True,
688,,,,,0.08301712005084677,6275611.0174780935,1.0,0.9999999926886574,12,,500000.0,True,
688,,,,,0.08290967722679339,6369962.417009348,1.0,0.9999999986820659,13,,500000.0,True,
688,,,,,0.0792891248412762,9626012.065550275,1.0,0.9999999926886574,20,,500000.0,True,
688,,,,,0.07963097954097519,9084999.818395017,1.0,0.9999999863164402,16,,500000.0,True,
688,,,,,0.07764081551527054,11103520.011089347,1.0,0.9999999986820659,21,,500000.0,True,
688,,,,,0.08042384535562336,8601866.954692334,1.0,0.9999999987333534,18,,500000.0,True,
1032,,,,,0.08369630093229102,5665221.656909395,1.0,0.9999999885824093,11,,500000.0,True,
1032,,,,,0.08243887660122552,6792930.804347413,1.0,0.9999999993662835,13,,500000.0,True,
1032,,,,,0.08280393818069859,6467200.4498328455,1.0,0.9999999885824093,11,,500000.0,True,
1032,,,,,0.07442974234443468,13937656.514691113,1.0,0.997178373735175,31,,1500000.0,True,
1032,,,,,0.07637799681532109,12235874.301077265,1.0,0.9999999736221856,28,,1500000.0,True,
1032,,,,,0.08329770844571438,5872330.723673958,1.0,0.9999999903980862,11,,500000.0,True,
1032,,,,,0.08115347584823712,7947737.825081644,1.0,0.9999999993662835,14,,500000.0,True,
