timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
238,,,,,-33594.48687011719,5342841.222168878,,0.13754097515572153,22,
238,,,,,-35162.748017578124,4898687.876586746,,0.0843894590619433,19,
238,,,,,-36768.58285522461,3879881.6765867462,,0.20584553942022732,19,
238,,,,,-53956.34115852356,5060938.400597233,,0.10127595785685628,20,
238,,,,,-48823.246513671875,4023025.9765867465,,0.13670308350804736,17,
238,,,,,-53956.34115852356,3502104.100597234,,0.10185860419897061,16,
238,,,,,-13386.068240814204,4888854.60940799,,0.2308758390475337,17,
476,,,,,-923.1361918830869,2467730.9830905395,,0.36372150294441646,8,
476,,,,,-3127.639235534669,2093046.1772503073,,0.3849585431180301,7,
476,,,,,-628.6917828369141,4177553.2772503076,,0.6697482279325414,11,
476,,,,,-13282.708683662411,2921035.154948604,,0.24513784654566587,14,
476,,,,,-1820.4270652770988,2739545.6772503075,,0.4307387990809907,12,
476,,,,,-13282.708683662411,2546728.7549486035,,0.25202180420445525,10,
476,,,,,-766.7056721687322,1283983.9738936725,,0.4387367310153115,8,
714,,,,,-13.664605213403702,3947723.122586064,,0.81778072641439,8,
714,,,,,-17.29710846185684,2557168.271892509,,0.7865000141469647,7,
714,,,,,-810.0412948513033,1664569.001293124,,0.3031575658011079,7,
714,,,,,-259.0362112617492,3041138.371892509,,0.5091375343406,8,
714,,,,,0.0,3499670.5759456456,,0.9999999836405093,9,
714,,,,,-851.2171101284032,2019660.201293124,,0.3333242590177483,5,
952,,,,,0.0,709823.417105789,,1.0,3,
952,,,,,-13888.31141021728,5819021.70940799,,0.08409734232369229,21,
952,,,,,0.0,1332350.3457810294,,0.9999999758610785,4,
952,,,,,0.0,1150222.2287298797,,0.9999999831762125,4,
952,,,,,0.0,838871.417105789,,0.9939769111412603,2,
952,,,,,-13888.31141021728,611540.6094079904,,0.08693949023722286,3,
1190,,,,,0.0,902957.162242394,,0.9999999909087428,5,
1190,,,,,-1601.7882653808588,2879374.2738936725,,0.5980796715211957,12,
1190,,,,,-39951.543671875,5552640.6178723965,,0.08378039191075866,21,
1190,,,,,0.0,499427.2116326026,,0.9999999818848265,3,
1190,,,,,-1601.7882653808588,1405860.2738936725,,0.516209999369085,4,
1190,,,,,0.0,1290034.3116326027,,0.9999999818848265,6,
1428,,,,,-578.1102910423281,1476005.201293124,,0.3354653611514905,5,
1428,,,,,0.0,3467730.8201483428,,1.0,12,
1428,,,,,0.0,1162957.320148343,,0.999999982369277,4,
1428,,,,,-5921.217501678466,5573244.90940799,,0.3702350977160257,24,
1428,,,,,0.0,847046.9319630689,,0.9999999900754974,5,
1428,,,,,-5921.217501678466,838871.6094079904,,0.38336184466267775,4,
1666,,,,,-24575.928475341792,4691462.476586746,,0.09415928165707124,14,
1666,,,,,0.0,819154.3457810294,,0.9999999758610785,4,
1666,,,,,0.0,1734471.0522911425,,0.9999999812833366,6,
1666,,,,,0.0,2258399.478949222,,0.9999999862169844,6,
1666,,,,,0.0,3872760.6738936724,,0.9999999854944963,13,
1666,,,,,-24575.928475341792,419465.3765867464,,0.08882044721898,1,
1666,,,,,0.0,475206.0789492218,,0.9999999862169844,2,
1904,,,,,-460.17976020812984,2848267.7772503076,,0.7888969150812372,13,
1904,,,,,0.0,290417.14892826916,,0.8856454095169459,1,
1904,,,,,0.0,516251.14892826916,,0.9999999806865867,1,
1904,,,,,0.0,654978.4072181695,,0.9999999836959604,2,
1904,,,,,0.0,2694612.2467177347,,0.9937919145900463,9,
1904,,,,,0.0,122359.30340071037,,0.9999999810927797,1,
1904,,,,,0.0,2042243.6467177344,,1.0,3,
2142,,,,,0.0,2965418.271892509,,0.9999999928948341,12,
2142,,,,,0.0,1938053.0949491523,,1.0,4,
2142,,,,,0.0,1017681.0949491524,,0.9999999750572068,5,
2142,,,,,0.0,767978.5457810294,,0.9999999758610785,3,
2149,,,,,0.0,1667594.1242730012,,0.9999999760883542,4,
