timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
238,,,,,0.5393744617589886,5762683.6679438865,,0.15815288006196823,23,
238,,,,,0.2656905845888477,3543155.9765867465,,0.37177632360388224,13,
238,,,,,0.5513068142494353,5532089.576586747,,0.1638698977452488,25,
238,,,,,0.5517465726087905,4833828.7,,0.0,20,
238,,,,,0.4197650132156236,5193944.910187772,,0.08482157144184065,21,
238,,,,,0.504642802666799,3450056.122168877,,0.08371220964418656,16,
238,,,,,0.5340948445861644,4518125.217872396,,0.12997080522617355,18,
476,,,,,0.6162103057626691,2618931.5830905396,,0.15837693308197362,10,
476,,,,,0.6553952628214109,3956181.7772503076,,0.5463293802694489,16,
476,,,,,0.6702120832358603,1921580.1772503073,,0.20073926910023918,6,
476,,,,,0.599993560795248,3720317.9830905395,,0.22131465317250118,14,
476,,,,,0.6181858259632094,2042543.2724211009,,0.16431582186223287,9,
476,,,,,0.5629679946579642,4824171.983090539,,0.2258961943658476,14,
476,,,,,0.6214432250330332,2991486.3899148456,,0.25094116148798395,12,
714,,,,,0.6448780045860498,1728559.022586064,,0.1540225713037389,8,
714,,,,,0.815225055525552,1936403.2718925092,,0.9999999928948341,5,
714,,,,,0.791260340316922,2814734.271892509,,0.9999999928948341,7,
714,,,,,0.7462375488063968,1332268.2996866247,,0.5358179021036854,5,
714,,,,,0.6764868043446195,3318150.2996866247,,0.536439071213576,9,
714,,,,,0.6895641095614807,1290812.522586064,,0.2877330257473092,5,
714,,,,,0.6892424001458021,1955735.9522911424,,0.36946934038740153,8,
952,,,,,0.8323565122585932,1163914.3596853358,,1.0,5,
952,,,,,0.8654424839559921,662254.1287298796,,0.9999999831762125,3,
952,,,,,0.8450556092734061,1056730.8596853358,,0.992297066434337,3,
952,,,,,0.8116781977871822,1593803.1398083037,,0.999999982360638,6,
952,,,,,0.8480507889135853,961467.2607835153,,0.9999999849537458,3,
952,,,,,0.7390804175597834,1365099.148928269,,0.5224635319767817,4,
1190,,,,,0.7967530366107153,1491342.133652595,,0.9703480219875374,5,
1190,,,,,0.4516036976492062,4387208.700597234,,0.09129310524504135,16,
1190,,,,,0.8374685839235205,1164718.0566719866,,0.9999999803193748,3,
1190,,,,,0.8670533229225343,561585.6336525951,,1.0,3,
1190,,,,,0.8810344814330181,306548.3338098125,,0.999999980591278,1,
1190,,,,,0.8181292858608435,1252878.962242394,,0.9999999909087428,3,
1190,,,,,0.8041740702915656,1694180.5949491523,,0.9999999750572068,5,
1428,,,,,0.8730999632705081,373180.3362641528,,0.9999999827851312,2,
1428,,,,,0.7174988871172212,2976176.480621998,,0.6136115239662135,11,
1428,,,,,0.8562328754060563,645299.4836925769,,0.9999999873283459,1,
1428,,,,,0.8584548117457658,694746.320148343,,0.999999982369277,4,
1428,,,,,0.7734685816452462,590930.9806219984,,0.5724704582066318,3,
1428,,,,,0.8572818912593896,489259.3362641528,,0.9999999827851312,1,
1428,,,,,0.77182431378761,1638944.5348084713,,0.999999984492391,5,
1666,,,,,0.7783384525499627,1615834.3701564155,,0.9999999861179949,5,
1666,,,,,0.7398061398162595,2135959.3759456454,,0.6134858510052954,9,
1666,,,,,0.8660045438553682,428109.21527409315,,0.9999999879209305,1,
1666,,,,,0.8132146169194486,1278624.4789492218,,0.9999999862169844,3,
1666,,,,,0.7411999261072842,1085052.5759456453,,0.5869119791644454,3,
1666,,,,,0.7576241976199627,1630659.8701564155,,0.9999999861179949,4,
1666,,,,,0.7585544482000117,1413134.8844649252,,0.9999999782845864,3,
1904,,,,,0.8999944484458484,59.3706997722174,,0.9999999844374575,0,
1904,,,,,0.7857555918104502,2513706.207041761,,1.0,6,
1904,,,,,0.849504815918687,635892.4037074281,,0.999999987589174,2,
1904,,,,,0.830919316089944,813482.3072181696,,0.9999999836959604,2,
1904,,,,,0.7833359261090105,1380873.1070417608,,0.9783745332634628,3,
1904,,,,,0.7485635626218621,1164441.3706997721,,0.9999999844374575,3,
1904,,,,,0.7991777758536021,532382.8072181696,,1.0,2,
2142,,,,,0.767333564714406,1419587.8060964108,,0.9999999942627108,2,
2142,,,,,0.8781669482362433,338810.0578309769,,0.9999999942620966,2,
2142,,,,,0.8999899788476019,59.8060964107669,,0.9999999942627108,0,
2142,,,,,0.8208464029167931,277512.6864503717,,0.9999999913860981,1,
2149,,,,,0.8468387815952284,714925.903932056,,0.9999999819916426,3,
2149,,,,,0.7075599248607759,2568336.323865325,,0.9999999760883542,5,
2149,,,,,-1569.6520436470091,59.754944358339316,,0.9955793185786264,0,
2380,,,,,0.7378332920783822,967919.0236199832,,0.9999999889734483,2,
2380,,,,,0.8499394923308616,720323.203270747,,1.0,2,
2380,,,,,0.8350551326100868,371072.203270747,,0.9861258236467956,2,
2380,,,,,0.8940132012509967,59.20327074695395,,0.9701806898697165,0,
2394,,,,,0.8435815746952607,740527.9110820472,,0.9999999810580297,1,
2394,,,,,0.8031650598099195,855002.0802471271,,0.9999999814120828,1,
2394,,,,,0.8082076200141427,919526.7244237731,,0.9999999764996377,2,
2618,,,,,0.8999782873386897,59.53690346895682,,0.9999999828889962,0,
2618,,,,,0.8060415434964294,1220617.141054492,,0.9999999883324767,5,
2618,,,,,0.8999770099011493,59.33341077946575,,0.9999999851584294,0,
2639,,,,,0.8530729308913355,500121.20559334906,,0.9999999859891233,2,
2639,,,,,0.8960825160532925,59.008937098646825,,0.9804619215713368,0,
2639,,,,,0.7299283438729107,1182435.1888153485,,0.9999999910359542,2,
2856,,,,,0.8999783316816734,59.41303025213279,,0.9999999787776683,0,
2856,,,,,0.8720872038280911,258155.30340071037,,0.9999999810927797,1,
2856,,,,,0.7266494272271468,4860314.628820673,,0.878549523895165,19,
2856,,,,,0.89997705141968,59.22882067244298,,0.9999999901634924,0,
2877,,,,,0.8712859278565217,258155.01845727916,,0.9999999907564647,1,
2877,,,,,0.750883187196834,521200.0671258577,,0.9999999869341434,2,
2877,,,,,0.7767741392336382,371072.13471356174,,0.9999999852049601,1,
3094,,,,,0.8152481499476899,232429.15220468145,,0.9999999735623604,1,
3094,,,,,0.7524743022278089,1224221.714742128,,0.9920899633034017,3,
3094,,,,,0.7084499315233662,1694412.1738936724,,0.37654260437011483,8,
3094,,,,,0.8812286951874637,48451.71474212812,,1.0,1,
3122,,,,,0.8163591166338295,886463.5875450368,,0.9999999922227134,3,
3122,,,,,0.7373105729839463,745385.9952192284,,0.9999999831105927,1,
3122,,,,,0.7709165354221628,529598.8049035989,,0.9999999885722357,1,
3332,,,,,0.7646940071603798,371072.30782780854,,0.9999999887481273,1,
3332,,,,,0.851602952452408,242024.3087299524,,1.0,1,
3332,,,,,0.6371905728838451,2310520.5012931237,,0.16384333079861182,9,
3332,,,,,0.8718575768269075,59.30872995239847,,0.8594104305017025,0,
3367,,,,,0.8389747126247035,561458.9864420433,,0.9999999956197806,1,
3367,,,,,0.8999717050796239,59.34089761649069,,1.0,0,
3367,,,,,0.8990147828657639,59.34089761649069,,0.9951462325616871,0,
3570,,,,,0.8999605543810381,59.39244424996551,,0.9999999896694105,0,
3570,,,,,0.8923385937128648,59.2083719001748,,0.9617635512198868,0,
3570,,,,,0.7856699121146691,2653295.9457810293,,0.9999999758610785,6,
3570,,,,,0.7799853148697047,290417.2083719002,,0.9999999777865023,1,
3612,,,,,0.8193423158218507,742085.373666764,,0.9999999828652619,2,
3612,,,,,0.8416566332904849,122359.32859125768,,1.0,1,
3612,,,,,0.8949452919758796,59.32859125768847,,0.9747987631175818,0,
3808,,,,,0.8999604481780861,59.55206350248639,,0.9999999886143526,0,
3808,,,,,0.8017092840572212,1622542.685302829,,0.9999999818848265,6,
3808,,,,,0.8999592910776744,59.10623215893127,,0.9999999910650459,0,
3857,,,,,0.6589894450960286,1621280.4061425296,,0.9999999912763997,2,
3857,,,,,0.8999717515572458,59.243461328136064,,1.0,0,
3857,,,,,0.8370776835486934,258155.24346132812,,0.9999999897945268,1,
4046,,,,,0.8999608425069869,58.957446483596435,,0.9999999860398534,0,
4046,,,,,0.5910373298513307,4526350.337268889,,0.28220005827453704,16,
4046,,,,,0.8743768200874471,294845.320148343,,0.999999982369277,2,
4046,,,,,0.7299379583354765,59.23726888926875,,0.2768194246585122,0,
4102,,,,,0.8999549730633153,59.56471221548491,,0.999999987723848,0,
4102,,,,,0.8999717337037628,59.27667465875945,,0.9999999901035078,0,
4102,,,,,0.892074367331206,59.27667465875945,,0.9604632441556815,0,
4284,,,,,0.8999610289713575,58.67284136607704,,0.9999999734275593,0,
4284,,,,,0.7514105223531629,3825476.8566892985,,1.0,14,
4284,,,,,0.8439348485183332,596906.4789492219,,0.9999999862169844,3,
4284,,,,,0.7698356460445156,161369.0566892984,,0.9048620628010844,1,
4347,,,,,0.899955249739514,59.19775676436244,,0.9999999844185034,0,
4347,,,,,0.8999713315544972,60.11741781731933,,0.9999999835083324,0,
4347,,,,,0.8999815018700963,59.9701016586816,,0.999999986051301,0,
4522,,,,,0.696415798845645,306548.8216082647,,0.9999999865091755,1,
4522,,,,,0.8391458901058015,526824.3072181696,,0.9999999836959604,3,
4522,,,,,0.8999352193686644,59.22540489821019,,0.9999999851728073,0,
4592,,,,,0.8999551744493623,59.300106044656246,,0.9999999947352475,0,
4592,,,,,0.8999721775822609,58.34253918664675,,0.9999999825572958,0,
4592,,,,,0.8999816681017442,59.4240078329089,,0.9999999751587714,0,
4760,,,,,0.899877670848892,59.22150887944713,,0.9999999856896559,0,
4760,,,,,0.5580977677847418,4834395.483553199,,0.1995010835025867,19,
4760,,,,,0.7114946522051275,59.38355319970488,,0.15104105287842987,0,
4767,,,,,0.6927952646021024,2197176.552594291,,0.9999999760883542,6,
4837,,,,,0.8999555602689625,58.78479454124304,,0.9999999765215533,0,
4837,,,,,0.8999716180870122,59.51740858817407,,0.9999999858262191,0,
4837,,,,,0.8999816412773523,59.51975827319744,,0.9999999886795149,0,
4998,,,,,0.899877404631382,59.35037680432497,,0.9999999849881033,0,
4998,,,,,0.5927571967618871,3473889.580332872,,0.1325082135491314,11,
4998,,,,,0.7059622808862042,59.48033287185682,,0.0966402355960323,0,
5012,,,,,0.899981984928631,59.080247127095284,,0.9999999814120828,0,
5082,,,,,0.899955010603461,59.5136492269332,,0.9999999824630273,0,
5082,,,,,0.8999718036910125,59.12720087633258,,0.9999999836398521,0,
5082,,,,,0.8999817196525198,59.25433955579965,,0.9999999712920232,0,
