timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
238,,,,,0.8250147517229585,4574424.962044935,,0.08952689785391121,21,
238,,,,,0.8026340663537709,4775097.296936095,,0.09042437363316447,16,
238,,,,,0.7720978302575505,5775103.096936095,,0.09030233989144279,20,
238,,,,,0.8149350276967504,4979296.862044934,,0.09096851150183055,21,
238,,,,,0.805636600909041,4681527.196936095,,0.09117558206597204,19,
476,,,,,0.80350711633667,5104783.30940799,,0.22077546325664946,19,
476,,,,,0.7942002358891352,5477271.219887494,,0.19712879525170446,24,
476,,,,,0.9016809907261832,1850987.6772503073,,0.1326010123852802,8,
476,,,,,0.8324049465126007,4200852.983090539,,0.8426145633304053,15,
476,,,,,0.8535172247710496,4057897.0549486037,,0.7202782148910963,12,
476,,,,,0.8963051799239389,2881280.7724211006,,0.16431582186223287,10,
476,,,,,0.8527616476647728,2742278.319887495,,0.22229085740339377,9,
714,,,,,0.9032238615010025,2325280.2738936725,,0.45324417484833857,8,
714,,,,,0.8812638872118248,3161502.6772503075,,0.22335291198215584,11,
714,,,,,0.8984560584781908,2353243.371892509,,0.13727786861925456,7,
714,,,,,0.8786298371476187,2227562.6996866246,,0.15402257734631708,8,
714,,,,,0.9263218273636182,1496735.5759456453,,0.9999999836405093,7,
714,,,,,0.88914569059155,2417789.0996866245,,0.15261577803306928,8,
714,,,,,0.8963073996403088,2529098.201293124,,0.6234991789986312,7,
952,,,,,0.9253684768014248,1543051.701030911,,0.7154705224724287,8,
952,,,,,0.9610365374126577,1007864.2398083037,,0.43638664627323653,4,
952,,,,,0.8906335853587939,2715697.4664832787,,0.9908555610038761,9,
952,,,,,0.9096457449585916,1287480.2664832782,,1.0,4,
952,,,,,0.9560504623882047,855002.333004844,,0.9999999817899208,3,
952,,,,,0.9408894725327276,1085573.6398083037,,0.5332314367671391,4,
952,,,,,0.944904743782573,996567.2010309108,,0.7741112528804011,7,
1190,,,,,0.9792401920674484,355674.3446015757,,0.45217396152667694,2,
1190,,,,,0.9228428065598342,1791442.1287298796,,0.9999999831762125,6,
1190,,,,,0.8998160632303642,2153124.8338098126,,0.5356684998879185,7,
1190,,,,,0.9110964796276149,1017502.8338098126,,0.5152356761061944,4,
1190,,,,,0.9339350502956485,1096967.057830977,,0.9999999942620966,3,
1190,,,,,0.9608443357204217,689783.8338098126,,0.535780714047395,4,
1190,,,,,0.9529971401293302,829803.3446015758,,0.41104260296075606,3,
1428,,,,,0.8452033803617595,2795033.3116326025,,0.9999999818848265,9,
1428,,,,,0.8768164577328327,2310328.9566719867,,0.9999999803193748,6,
1428,,,,,0.8442638454013,2475365.4836925766,,0.9999999873283459,6,
1428,,,,,0.9188734109468026,855002.731963069,,1.0,1,
1428,,,,,0.9091170331766323,1176735.931963069,,0.9999999900754974,4,
1428,,,,,0.9572879340624431,725742.8566719865,,1.0,2,
1428,,,,,0.936852467404617,1049204.320148343,,0.999999982369277,3,
1666,,,,,0.9001611851296929,1139180.020148343,,0.999999982369277,3,
1666,,,,,0.9803074938312635,258155.44923168645,,1.0,1,
1666,,,,,0.9741324764469321,258155.5410544918,,1.0,1,
1666,,,,,0.8678278358846379,1016312.5410544918,,1.0,3,
1666,,,,,0.9401842259034056,613037.5410544918,,0.9999999883324767,2,
1666,,,,,0.9472298005353138,831384.4492316864,,0.9106689033529266,4,
1666,,,,,0.9308934724524033,1092475.9492316865,,0.9454484001010417,3,
1904,,,,,0.8884774902000347,905503.4789492219,,0.9999999862169844,4,
1904,,,,,0.9394868839906253,741225.3627901603,,0.8707601317854935,4,
1904,,,,,0.9221650279814674,709822.9037074281,,0.999999987589174,1,
1904,,,,,0.9999862004697784,59.36279016035,,1.0,0,
1904,,,,,0.9999927673249003,59.3477132010601,,1.0,0,
1904,,,,,0.9040402354621448,1382833.847713201,,0.973158164376611,3,
1904,,,,,0.951952819113725,612298.3477132011,,0.9621222690959251,3,
2142,,,,,0.9523277053365504,274286.80721816956,,0.9999999836959604,1,
2142,,,,,0.854139236427879,1590575.5037074282,,0.999999987589174,2,
2142,,,,,0.951655158923354,207969.80609605514,,0.9999999942627108,1,
2142,,,,,0.8958013646143057,855001.6379889377,,0.9999999888289811,1,
2149,,,,,0.9286218658377394,658244.815535837,,0.9999999819916426,2,
2149,,,,,0.9251172154212701,951457.8988863585,,0.99999999488136,3,
2149,,,,,0.9476049364019703,744349.5196148461,,0.9999999760883542,2,
2380,,,,,0.8349938256894585,709823.0236199832,,0.9999999889734483,2,
2380,,,,,0.9999889481370655,59.19034407554591,,0.9999999880164444,0,
2387,,,,,0.8269615391683951,1267320.1627873592,,0.9999999760883542,4,
2387,,,,,0.8618843651445697,1114767.368750695,,0.9999999819916426,3,
2394,,,,,0.9999933274912326,59.38077984909866,,0.9999999810580297,0,
2394,,,,,0.8411796784812652,1693453.9209962732,,0.9999999764996377,5,
2394,,,,,0.8725726410264351,1693814.080247127,,0.9999999814120828,3,
2618,,,,,0.9999692461718757,59.53690346895682,,0.9999999828889962,0,
2618,,,,,0.9397501078311083,322679.83168699365,,0.9999999879678582,2,
2632,,,,,0.8204533957602004,745385.830728273,,0.9999999814120828,1,
2632,,,,,0.7851813140002235,935657.3807798491,,0.9999999810580297,3,
2639,,,,,0.9999932348105501,60.20559334905277,,0.9999999859891233,0,
2639,,,,,0.8603746942727238,1226014.9911427817,,1.0,2,
2639,,,,,0.866656966905822,1019612.7416239278,,0.9882771387087684,3,
2856,,,,,0.9999693101521245,59.41303025213279,,0.9999999787776683,0,
2856,,,,,0.9999860567346265,59.68123241632319,,0.9999999793618058,0,
2877,,,,,0.9999645865614448,59.036567283906855,,0.9999999875929388,0,
2877,,,,,0.9999513258361625,60.20559334905277,,0.9999999859891233,0,
2877,,,,,0.9532090084314655,300917.0184572792,,0.9999999907564647,1,
2877,,,,,0.9999750072754733,59.13471356176224,,0.9999999852049601,0,
2877,,,,,0.9999860953973736,59.06712585770581,,0.9999999869341434,0,
3094,,,,,0.916644599071375,161369.15220468145,,0.9999999735623604,1,
3094,,,,,0.9396874764663932,258155.01369153374,,0.9999999942495511,1,
3115,,,,,0.9999645682328662,59.06712585770581,,0.9999999869341434,0,
3115,,,,,0.9999522854424395,59.018457279165574,,0.9999999907564647,0,
3122,,,,,0.9539032161901956,410229.87381465785,,1.0,1,
3122,,,,,0.8625870635889479,645048.2895227238,,0.9999999885722357,2,
3122,,,,,0.9531239584164295,315590.6054122965,,0.9999999831105927,1,
3332,,,,,0.9999575832660996,59.3078278085253,,0.9999999887481273,0,
3332,,,,,0.9999825995371254,59.50906734316982,,0.9999999788353942,0,
3360,,,,,0.8396233726215093,665801.9622397835,,0.9999999831105927,2,
3360,,,,,0.8739431527491733,467057.58754503686,,0.9999999922227134,1,
3367,,,,,0.8859738793863119,1014754.9127641747,,1.0,2,
3367,,,,,0.8618646971744218,529598.5767208041,,0.9999999906818737,1,
3367,,,,,0.8892845719046893,745386.1329431226,,0.9999999857536662,1,
3570,,,,,0.9999575227573098,59.39244424996551,,0.9999999896694105,0,
