timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
272,,,,,0.4772990257660922,5156929.817872397,0.0,0.10122838815039614,21,
272,,,,,0.7338313948005304,3849129.9178723963,0.8184723631820447,0.1017252299620839,17,
272,,,,,0.7228839415683639,5189873.717872396,0.8201835874076365,0.10024936175242273,20,
272,,,,,0.7282432656348534,4520138.917872397,0.8184723631820447,0.1017252299620839,20,
344,,,,,0.959758585035334,10848939.755546981,1.0,1.0,27,
344,,,,,0.9459233288969131,14578874.358146982,1.0,0.9999999934491306,32,
344,,,,,0.6452673017588718,14755736.899010984,0.0,0.9999999934491306,31,
544,,,,,0.6896152249003653,5662161.254480249,0.7305991942421943,0.08794829567371033,20,
544,,,,,0.6911150694432108,5136734.254480249,0.7207230391104873,0.08838310369905249,20,
544,,,,,0.4686190967565127,5869145.054480248,0.0,0.08748519939838881,23,
544,,,,,0.6920908436170403,5019565.654480249,0.7207230391104873,0.08838310369905249,19,
616,,,,,0.7285089427424043,4992418.20940799,0.8374866829655414,0.09419771811457653,18,
688,,,,,0.9501071435032645,13407935.946897473,1.0,0.9999999900418947,30,
816,,,,,0.5153383812409973,4940943.1552463565,0.0,0.28243154662282116,20,
816,,,,,0.5132767086611973,5164975.755246357,0.0,0.2814518453006974,19,
816,,,,,0.5220763912949813,4020980.355246357,0.0,0.27781457539446447,18,
816,,,,,0.5163927394445533,4790810.355246357,0.0,0.2814518453006974,16,
888,,,,,0.716631762840727,5024873.611621814,0.8014238324831406,0.09025752727069083,21,
960,,,,,0.711100952771526,4640583.476586746,0.72975827480474,0.15410007515012084,21,
1032,,,,,0.63942603223289,16336228.476397624,0.0,1.0,35,
1032,,,,,0.9526000258448374,12783326.133397622,1.0,0.9999999931400336,27,
1088,,,,,0.7918665197850633,4358974.89051009,0.9392619327423658,0.23194630214537762,19,
1088,,,,,0.7878211481148838,4835863.790510089,0.9392619327423658,0.2315769759215999,18,
1160,,,,,0.7873602453864603,5493725.816864808,0.9372144014112094,0.25973697904647086,20,
1232,,,,,0.7961027458534289,5295258.860809872,0.966341940642897,0.2514940633568211,20,
1360,,,,,0.7121830358367003,3703206.2939900453,0.7552321176188259,0.0822675718441505,14,
1360,,,,,0.47108995186208036,5447146.8939900445,0.0,0.0822675718441505,21,
1360,,,,,0.7052718473871677,4580525.093990046,0.7552321176188259,0.0842429614998531,18,
1376,,,,,0.9526257276004699,12736078.439780015,1.0,0.999999997704763,27,
1376,,,,,0.6542168018652894,12308334.85737202,0.0,1.0,27,
1432,,,,,0.7392578868463656,5725171.045731112,0.8697062610513818,0.1301247191199128,23,
1504,,,,,0.7186961225484132,4201641.992542193,0.743281242251587,0.1535140557657929,19,
1632,,,,,0.7613732663556773,4837556.807802761,0.899442262962228,0.1591375750239592,21,
1632,,,,,0.7659997694465333,4282017.507802762,0.899442262962228,0.1591375750239592,18,
1632,,,,,0.48003141066937505,5800677.9078027615,0.0,0.14169580919645478,20,
1720,,,,,0.933428301330531,17952363.908867463,1.0,1.0,35,
1720,,,,,0.9421417878238135,15602600.80652346,1.0,0.9999999886501093,33,
1776,,,,,0.8001395884800131,5271730.585816548,0.9703877860587073,0.2646297818403027,20,
1904,,,,,0.47995049029865394,4601518.255508001,0.0,0.09135851737194445,20,
1904,,,,,0.47328156218026884,5402306.955508001,0.0,0.09135851737194445,23,
1904,,,,,0.7482285426601668,5937200.055508001,0.9312428998524505,0.0915018845000073,21,
2048,,,,,0.9476655615483429,12630634.807091933,1.0,0.9726881150041556,27,
2048,,,,,0.9377704188211542,16769029.954211937,1.0,0.999999955839177,33,
2064,,,,,0.6501304460991637,13377835.988054713,0.0,1.0,30,
2064,,,,,0.6595621701235972,10847713.173278714,0.0,0.9999999854222532,26,
2176,,,,,0.6977588075621283,4135710.3905100883,0.6645469654755887,0.16418351511244103,19,
2176,,,,,0.6832181706801768,5754079.790510089,0.6645469654755887,0.15886881962336846,24,
2392,,,,,0.6561905595590531,11779932.833838884,0.0,1.0,27,
2392,,,,,0.9471100200924144,14221601.536470884,1.0,0.999999997704763,31,
2392,,,,,0.9214819333475499,13836626.261718882,1.0,0.8647009699509238,33,
2408,,,,,0.9455911767294743,14087631.723096808,1.0,0.9892142363691018,33,
2448,,,,,0.7922263781831337,6194536.695563016,0.9573891183360731,0.2829871623723432,21,
2448,,,,,0.7867931305267157,6744353.195563016,0.9573891183360731,0.278715144772307,24,
2456,,,,,0.7958927391022951,5450330.520277509,0.9525884859172132,0.2650561303709173,21,
2720,,,,,0.4734070516269976,5241678.854480249,0.0,0.08529743988461869,21,
2720,,,,,0.47874685674811673,4664149.654480249,0.0,0.08794829567371033,18,
2736,,,,,0.9052332684015786,15627778.1416747,1.0,0.8168730464731484,34,
2736,,,,,0.9046530655776698,15408086.2600027,1.0,0.8098853411848621,35,
2736,,,,,0.9417918793109511,15645726.899274698,1.0,0.9999999824024974,35,
2752,,,,,0.6509531094023756,13223565.71393772,0.0,0.9999999949976989,28,
2752,,,,,0.9544580146168686,12278606.07274572,1.0,1.0,32,
2992,,,,,0.47127935468311455,5713315.775948504,0.0,0.09429779884232867,22,
2992,,,,,0.7588155430961525,5535143.975948503,0.9535477911869764,0.09423802539061173,20,
3008,,,,,0.7730934989543965,4635741.922168877,0.9473050952586269,0.13754097515572153,19,
3080,,,,,0.9531999642631358,12285392.017236114,1.0,0.9944653520693287,27,
3080,,,,,0.9488890216916307,13742081.509236116,1.0,0.9999999935821097,29,
3080,,,,,0.917268006306588,13969729.469484113,1.0,0.8461283763617289,34,
3096,,,,,0.947788738476704,14086361.35236548,1.0,1.0,30,
3096,,,,,0.6424237625634542,15533807.345453478,0.0,0.9999999971338207,34,
3264,,,,,0.8037992500168196,3159181.531732877,0.9163302028157185,0.2760484627689476,16,
3264,,,,,0.7897125263030578,5153832.531732878,0.9163302028157185,0.2886716054255644,17,
3280,,,,,0.6952461263452588,4708151.788640625,0.7174807945470383,0.09605568248769139,21,
3424,,,,,0.6271773185678421,12760361.283566317,0.0,0.8753401626050837,30,
3424,,,,,0.9534683145443522,12536152.587422673,1.0,0.9999999969311313,28,
3440,,,,,0.9493840443695399,13641270.117148394,1.0,1.0,29,
3536,,,,,0.7580317617503463,5112633.086379571,0.9006677728607889,0.15204589749979874,22,
3536,,,,,0.761186873907002,4777013.086379571,0.9006677728607889,0.1538463264068466,20,
3552,,,,,0.753647486510418,5351875.785191568,0.8466613180716561,0.22109620709165378,21,
3696,,,,,0.7901787245777792,4343579.576586747,0.8983796799215156,0.28418965914967037,16,
3768,,,,,0.952400139057655,12801331.713235237,1.0,0.9999999854222532,30,
3768,,,,,0.9419515624597146,15611334.47015524,1.0,1.0,34,
3784,,,,,0.9433197527119122,15307726.18376089,1.0,1.0,32,
3784,,,,,0.944268798460897,15051415.325288894,1.0,0.9999999900770719,32,
3808,,,,,0.6671887886874779,3553303.6712947087,0.5957253431309637,0.09031459591980358,14,
3824,,,,,0.7488946609034303,6020055.908884369,0.9342806664345733,0.09372591332885233,21,
3968,,,,,0.7489241067615822,6036343.260809871,0.9372188521305713,0.0901440683981015,22,
4080,,,,,0.8082406491729154,5543833.568766726,0.9591321356868461,0.33334887930201446,21,
4096,,,,,0.7399459217208177,5208355.407236252,0.8815507476735363,0.09427808978178732,22,
4112,,,,,0.9437233035741256,14594973.983204199,1.0,0.9892924554999643,30,
4112,,,,,0.9551582278683429,12089445.629780198,1.0,0.9999999686979988,26,
4128,,,,,0.9474833607446355,14118681.63493506,1.0,0.9999999900418947,32,
4128,,,,,0.9585764490687818,11017219.684455058,1.0,0.997783575646539,28,
4152,,,,,0.9488810178351575,13774478.923574546,1.0,0.9999999949976989,31,
4240,,,,,0.7384720194104598,5360302.492542193,0.8066691116856128,0.20555806513441816,22,
4352,,,,,0.7673136996286349,4974065.522594746,0.8794775390786884,0.22447102209598752,21,
4368,,,,,0.7539949912670152,6120504.048356496,0.9297514731303734,0.13020399156024037,22,
4456,,,,,0.953434279630295,11213982.576877864,1.0,0.9755842250486022,26,
4456,,,,,0.9441777236211596,15018029.845069865,1.0,0.9999999893763478,34,
4472,,,,,0.6452416132101861,14767145.095485874,0.0,0.9999999931400336,28,
4472,,,,,0.6397215503734169,16255786.305141874,0.0,1.0,38,
4496,,,,,0.9478268941786571,14025132.001814637,1.0,0.9999999821738761,33,
4512,,,,,0.7431964525857683,4204180.085816548,0.867135733541254,0.09033965030232613,19,
4624,,,,,0.7011994846285523,3025697.747981839,0.6530662064347937,0.15238740565821515,15,
4640,,,,,0.7236894945536013,4832093.19165949,0.7705544810585152,0.16382289727963087,17,
4784,,,,,0.6577405379571135,4189137.5170832956,0.5858124986319748,0.08441857050784686,18,
4800,,,,,0.9462119888902562,14514907.347289534,1.0,1.0,33,
4800,,,,,0.9447457134688889,14910587.35653753,1.0,0.9999999961579435,36,
4816,,,,,0.9422974575471599,15590486.762293918,1.0,0.999999987332631,28,
4840,,,,,0.7299697645081651,13884931.055639021,0.9005050105862917,0.05662224952425161,32,
