timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
344,,,,,0.5468065145373258,13422317.275200002,1.0,0.0,32,
344,,,,,0.5137993728005666,14897420.179834751,0.9211910923093087,0.055865835312449034,33,
344,,,,,0.5211969528705535,14206052.23669075,0.9205026235773164,0.05574631414991003,30,
688,,,,,0.7269322197647327,12836972.386379719,1.0,0.8508940494216373,29,
688,,,,,0.3236663800810832,13280028.020459719,0.0,0.8592849356561285,32,
688,,,,,0.7453589748631662,13858078.730243718,1.0,0.9999999821738761,33,
688,,,,,0.31403774842629445,16664914.959587717,0.0,0.9999999821738761,34,
688,,,,,0.7234624766718931,13301875.602875717,1.0,0.8594843943893771,30,
688,,,,,0.3456758848382735,11740094.216411717,0.0,0.8834125634571734,29,
688,,,,,0.31106855966652436,14416487.14047572,0.0,0.8597040457585563,32,
688,,,,,0.7362413397050349,14362832.37351572,1.0,0.982574302987899,32,
1032,,,,,0.3231111108730738,15773231.415422669,0.0,0.9971231369497204,32,
1032,,,,,0.2889909335167185,16034904.702590669,0.0,0.8411471980381718,35,
1032,,,,,0.7457473800661917,13736968.61876667,1.0,0.9964975384867082,29,
1032,,,,,0.747848610032851,13611656.52699867,1.0,0.9999999821738761,32,
1376,,,,,0.45848187183540573,14744506.319316298,0.778169465533026,0.05574631414991003,30,
1376,,,,,0.4854073961048949,12343060.100628296,0.778169465533026,0.056872852826369114,26,
1376,,,,,0.4349656472680313,16774569.992988298,0.778169465533026,0.05102039340634929,36,
1376,,,,,0.1771398668262315,11921317.99637391,0.0,0.04960785330212176,28,
1376,,,,,0.16983574259729725,12712347.416916294,0.0,0.05588291907744934,32,
1376,,,,,0.1782184980375245,11971692.603588294,0.0,0.05662224952425161,27,
1720,,,,,0.35631480531747195,12587848.546190253,0.0,0.9854091910563244,23,
1720,,,,,0.35310218126646187,12993008.356646255,0.0,0.9920001185348576,33,
1720,,,,,0.3372354399650085,12522752.711942254,0.0,0.8863726051218135,29,
1720,,,,,0.30086552710660885,15168207.591710256,0.0,0.8524406268703834,33,
1720,,,,,0.34369151354889904,13856800.227230253,0.0,0.9932447151397454,29,
1720,,,,,0.3666498562112694,11924605.882838255,0.0,0.9999999900418947,27,
1720,,,,,0.3270307198764494,15187361.955230255,0.0,0.9843375850637684,32,
1720,,,,,0.32724770495224537,13415888.647790255,0.0,0.8863726051218135,29,
2064,,,,,0.7256568089464326,13239707.342489157,1.0,0.8721600560199502,31,
2064,,,,,0.3209177115354047,13130225.441057157,0.0,0.842313303076624,32,
2064,,,,,0.3503205521819872,13320177.383225156,0.0,1.0,32,
2064,,,,,0.35861889145860393,12581696.784497159,0.0,0.9999999935844687,33,
2064,,,,,0.7081276740910898,13842281.190425156,1.0,0.8183701323964597,32,
2064,,,,,0.30500255309021523,14721198.349529158,0.0,0.852126690732547,34,
2064,,,,,0.3196329677300887,13684305.904649155,0.0,0.8670207227170269,33,
2064,,,,,0.32142936962804425,15891242.963969156,0.0,1.0,33,
2408,,,,,0.3249309440358037,12788284.296360904,0.0,0.838406187118659,31,
2408,,,,,0.32097377801720983,13079810.344752904,0.0,0.8348912765539739,28,
2408,,,,,0.31835295247452927,12889427.017426513,0.3836037369094283,0.05033446593651485,30,
2408,,,,,0.3081965756839492,14932417.62532716,0.0,0.8875000148875017,35,
2408,,,,,0.3438714489490329,13869005.789472906,0.0,0.9934269321110898,31,
2408,,,,,0.1514973172229906,14306096.615310993,0.0,0.05381866491342793,30,
2752,,,,,0.7260290101433853,15052798.628075004,1.0,0.9844296531145833,34,
2752,,,,,0.7263663371921902,15613213.431469854,1.0,1.0,34,
2752,,,,,0.36761591607986543,11620889.598453674,0.0,1.0,30,
3096,,,,,0.3467243904049508,13775036.661314314,0.0,1.0,29,
3096,,,,,0.35345998474711604,13169701.870970318,0.0,1.0,31,
3096,,,,,0.34532508467586576,13900793.706218319,0.0,1.0,31,
3096,,,,,0.3616836992930611,11861017.181258317,0.0,0.9683095310860657,27,
3096,,,,,0.37665692345665736,11084969.043746317,0.0,0.9999999949976989,26,
3096,,,,,0.7375967287517873,14595349.000874316,1.0,1.0,34,
3096,,,,,0.3327777093770894,15028439.137994314,0.0,0.9999999949976989,33,
3096,,,,,0.35559169455181505,12978122.918594318,0.0,1.0,28,
3440,,,,,0.5250747402640343,15326384.986488001,1.0,0.0,35,
3440,,,,,0.17714829600592072,11985809.419470988,0.0,0.05291749510520065,26,
3440,,,,,0.1504880184079344,15008545.691631079,0.0,0.10841249412985547,34,
3440,,,,,0.35666326929093983,12884072.447358357,0.0,1.0,31,
3784,,,,,0.755917942552552,12938249.513266506,1.0,1.0,27,
3784,,,,,0.7186492107550566,16284899.051602509,1.0,1.0,34,
4128,,,,,0.4807080800155606,15036206.44392227,0.8416095011973735,0.05622494837628858,32,
4128,,,,,0.49169497392825406,14039437.298018273,0.8416095011973735,0.05574631414991003,32,
4128,,,,,0.5362437982548384,10079445.55025027,0.8416095011973735,0.058343740203697106,26,
4128,,,,,0.5046474103869613,12725526.22404227,0.8374088893391686,0.055865835312449034,28,
4128,,,,,0.5144480661591677,11848029.35064227,0.8375148349309431,0.05587478874144819,26,
4472,,,,,0.16323283741005062,14762789.661567071,0.04111222567821815,0.05574631414991003,31,
4472,,,,,0.18607903348721141,11229808.238847071,0.0,0.055529745456274475,27,
4816,,,,,0.33307441779281666,12331903.347490625,0.0,0.8537451316256595,29,
4816,,,,,0.32557987691679047,13003210.531162625,0.0,0.8537451316256595,29,
4816,,,,,0.16840269219504392,12817968.294423072,0.0,0.055556829693807624,28,
4816,,,,,0.1958973283618046,12165806.095575074,0.050598035353488835,0.055529745456274475,29,
5160,,,,,0.3318086584543811,12655796.719093937,0.0,0.8655266436008683,27,
5160,,,,,0.33870846814145195,12037787.896693937,0.0,0.8655266436008683,27,
5160,,,,,0.739386633542193,14385973.232317938,1.0,1.0,30,
5160,,,,,0.728108859509818,12987183.886645937,1.0,0.8655266436008683,32,
5160,,,,,0.36713692065608355,11900408.69672594,0.0,1.0,29,
5160,,,,,0.335816040151765,14705787.59192594,0.0,1.0,30,
5160,,,,,0.3298023748192275,15244425.20197394,0.0,0.9999999900418947,32,
5160,,,,,0.7683738457921543,9380690.681053938,1.0,0.8655266436008683,24,
5504,,,,,0.2216195541577036,13511753.326037908,0.15478018544254435,0.05101863937894199,29,
5504,,,,,0.1452678350536436,14799821.894934842,0.0,0.05202886495777899,32,
