timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_success
272,,,,,0.5743256364089634,4383250.292429016,0.872176675650446,0.19961469607806206,19,,21000000.0,False,True
272,,,,,0.4888001169282704,4999522.970013597,0.7869591435447862,0.09115434727552126,19,,21000000.0,False,True
272,,,,,0.5458825039969003,4364475.4830159135,0.8735789479488701,0.10101520937340903,18,,21000000.0,False,True
272,,,,,0.5343759870315987,3962085.392429016,0.7744409484876066,0.15370795016363648,17,,21000000.0,False,True
272,,,,,0.5884539101368351,6095611.092429017,0.9108799754014633,0.37015857064643815,20,,21000000.0,False,True
344,,,,,0.8293547218274707,15340714.888422778,1.0,0.9999999962858012,34,,21000000.0,False,True
344,,,,,0.8456533793634313,13871345.065562094,1.0,1.0,32,,21000000.0,False,True
344,,,,,0.8442411593717148,14002449.933146097,1.0,0.9999999962858012,27,,21000000.0,False,True
544,,,,,0.6643502110125273,3446719.3182540247,0.9927194989772891,0.2432316134989225,14,,17000477.029986404,False,True
544,,,,,0.6780773041516479,3082757.0182540244,0.9926524396920334,0.25187025978885885,10,,17635524.516984086,False,True
544,,,,,0.7402179607964559,4800051.7128215395,0.9933793608379207,0.6335949807793896,15,,18037914.607570983,False,True
544,,,,,0.7212223119618232,2614168.6128215394,0.965230848630328,0.3843454430661391,9,,15904388.907570984,False,True
816,,,,,0.781803736806391,2119289.258187426,0.9995573244081497,0.4899235554360243,5,,14553757.71173238,False,True
816,,,,,0.8154861610342661,1101050.7581874256,0.9995532470089848,0.49810957245633136,5,,15552767.498730062,False,True
816,,,,,0.8087318923194835,1324312.6581874255,0.9995613724001686,0.49840849353689487,7,,14237862.894749444,False,True
816,,,,,0.9792199415129725,677561.2822123932,1.0,0.9999999891332931,3,,14290220.294749444,False,True
888,,,,,0.8573933416453018,12811815.215238297,1.0,0.9999999970462644,29,,21000000.0,False,True
1032,,,,,0.8352638222102488,14797574.694677215,1.0,0.9999999801046268,31,,21000000.0,False,True
1088,,,,,0.9872732131339856,414973.67420870165,1.0,0.999999990491365,2,,13434468.453544954,False,True
1088,,,,,0.8885157557544799,3231176.1126696006,1.0,0.9587078498663282,8,,15451716.740542635,False,True
1088,,,,,0.9085214267250965,2982780.2126696007,1.0,0.9999999908801325,7,,13913550.23656202,False,True
1088,,,,,0.9609450463449467,1273438.5126696005,1.0,0.9999999908801325,5,,14612659.012537051,False,True
1232,,,,,0.9099318040434459,8091747.599890063,1.0,0.9999999986820659,16,,9188184.784761703,False,True
1304,,,,,0.5292015511714527,4117767.1223719395,0.8203943992455518,0.0911038671868476,19,,21000000.0,False,True
1304,,,,,0.615648462217606,5234214.470687498,0.9528867209620276,0.3167378394041242,19,,21000000.0,False,True
1360,,,,,0.9697947997345033,984880.4728593265,1.0,0.9999999849206223,3,,14019494.779336251,False,True
1360,,,,,0.9624308935656325,1224990.5673698697,1.0,1.0,4,,13220540.627873035,False,True
1360,,,,,0.9725236806641266,887040.6673698698,1.0,0.9990941232526567,4,,11930770.023892418,False,True
1360,,,,,0.9876077254065061,395205.3673698698,1.0,0.9990941232526567,2,,14339220.49986745,False,True
1376,,,,,0.9253791787132017,6702882.305323019,1.0,0.9999999987333534,11,,7202425.305322785,False,True
1576,,,,,0.45051861156220024,8890838.833107725,1.0,0.9999999993662835,13,,2096437.18487164,True,True
1576,,,,,0.6626888602977902,2515104.8204109757,0.929649747132595,0.22654815937330286,8,,17882232.877628062,False,True
1576,,,,,0.871847733703915,4178574.325813186,1.0,0.9999999804294817,15,,16765785.529312503,False,True
1632,,,,,0.9680293144756827,1026812.0704747536,1.0,0.9984016865964037,3,,14034614.306476925,False,True
1632,,,,,0.9876267625332502,210415.59292187137,1.0,0.9802665871563022,1,,12995550.060503166,False,True
1632,,,,,0.9519510322131339,1566700.3704747537,1.0,1.0,6,,12043729.356522547,False,True
1632,,,,,0.9878280620453896,396882.1929218714,1.0,1.0,1,,14944015.13249758,False,True
1720,,,,,0.45831398296471026,7488967.482978788,1.0,0.9999999847795655,14,,1499542.9999997662,True,True
1848,,,,,0.6708195341537564,1927616.215589351,0.9090605695122641,0.22104388737952704,7,,16367128.057217086,False,True
1848,,,,,0.9413036175087894,1913873.1983666879,1.0,0.9999999837596102,5,,13587211.203499317,False,True
1904,,,,,0.9870455352903962,422397.5053148589,1.0,1.0,2,,14007802.236002171,False,True
1904,,,,,0.9878280630660627,396882.0060284435,1.0,0.9999999847500154,1,,13785134.467581294,False,True
1904,,,,,0.9755260632181147,798005.0053148589,1.0,0.9999999807897246,3,,11477028.986047793,False,True
1904,,,,,0.9796500020699035,663538.5053148589,1.0,0.9999999807897246,2,,15547132.93957571,False,True
1920,,,,,0.48055518864480673,3493852.4099809043,1.0,0.9999999880110932,7,,1000000.0,True,True
2064,,,,,0.48903684700314876,1969549.965161201,1.0,0.9999999934112973,3,,1000000.0,True,True
2120,,,,,0.8142464095317089,2334518.9287937796,0.9945433215617794,0.6267539915811106,6,,15439511.841627736,False,True
2120,,,,,0.9857062847495985,466065.4279520668,1.0,0.9999999892564292,2,,12673338.005132629,False,True
2176,,,,,0.9849949549105326,489259.3985940078,1.0,1.0,1,,14585404.730687313,False,True
2176,,,,,0.988443142399138,258155.49714170644,1.0,0.9878682869906195,1,,14388252.46155285,False,True
2176,,,,,0.9956169896186908,59.39859400780597,1.0,0.9853960376929386,0,,11679023.980732935,False,True
2176,,,,,0.9905984933555195,306548.49714170647,1.0,0.9999999891945847,1,,15883594.43426085,False,True
2264,,,,,0.47977061088001016,3634825.7044661716,1.0,0.9999999879147656,6,,1000000.0,True,True
2392,,,,,0.9748372060531432,820466.1722053046,1.0,0.9999999905771657,4,,14104992.912833955,False,True
2392,,,,,0.9882122172672843,384356.20257252845,1.0,0.9999999919293222,2,,13207272.577180563,False,True
2408,,,,,0.47814914955154153,3925544.5361400708,1.0,0.9999999990742935,7,,1000000.0,True,True
2448,,,,,0.9691283002365145,784026.1159439689,1.0,0.9772450493651125,3,,15096145.332093306,False,True
2448,,,,,0.9939968820195475,195739.51594396884,1.0,0.9999999885905184,1,,15130096.964411145,False,True
2448,,,,,0.9660603889602111,1106645.9457672806,1.0,0.9999999876807584,2,,12678964.582138928,False,True
2448,,,,,0.995050976923955,161369.34576728052,1.0,0.9999999876807584,1,,16577045.937119145,False,True
2608,,,,,0.48427890406051655,2824773.7617003205,1.0,0.9999999979044427,4,,1000000.0,True,True
2664,,,,,0.9674329741497907,1061890.9086014505,1.0,0.9999999840982264,3,,14284526.74062865,False,True
2664,,,,,0.991794912179739,267537.6510455827,1.0,0.9999999883720168,2,,13822916.374608034,False,True
2720,,,,,0.9999981804656759,59.328330158995776,1.0,1.0,0,,15312119.216149338,False,True
2720,,,,,0.9826829836771458,564644.2257730026,1.0,0.9999999928302321,3,,15934357.448467176,False,True
2720,,,,,0.9827022146933004,514458.328330159,1.0,0.9949336089877088,2,,12572318.636371646,False,True
2720,,,,,0.9970298558098619,96845.30145049193,1.0,0.9999999803549998,1,,17415676.591351867,False,True
2752,,,,,0.4818619283984283,3258537.111566731,1.0,0.999999997930583,7,,1000000.0,True,True
2936,,,,,0.9383111169906371,2011447.6930191568,1.0,0.9999999855283376,5,,14222635.8320272,False,True
2936,,,,,0.9756346503007642,794464.3797058753,1.0,0.9999999851573862,3,,14555378.723562451,False,True
2952,,,,,0.47725352217012484,4087097.210853803,1.0,0.9999999819128563,6,,1000000.0,True,True
2992,,,,,0.9782304991214252,709823.4523146794,1.0,1.0,1,,16312059.887819178,False,True
2992,,,,,0.9828811082116921,516251.4523146794,1.0,0.9957132317381072,1,,16369713.222694173,False,True
2992,,,,,0.9999981734320811,59.557671415850805,1.0,1.0,0,,13057860.308041487,False,True
2992,,,,,0.9955457016645333,145238.2580079955,1.0,0.9999999947406791,1,,18318831.289901376,False,True
3096,,,,,0.4875763369752043,2231933.392161344,1.0,0.9999999999104812,2,,1000000.0,True,True
3208,,,,,0.9920826588711553,258155.31819341003,1.0,0.9999999909733948,1,,13211188.139008043,False,True
3208,,,,,0.9772410633752704,742085.1619274105,1.0,0.9999999861722315,2,,14760914.343856575,False,True
3264,,,,,0.9857647145465618,177500.57284553358,1.0,0.9706948698844928,1,,16602236.4355045,False,True
3264,,,,,0.992577374017003,242024.569580076,1.0,1.0,1,,16853461.770379495,False,True
3264,,,,,0.9871354531105179,419465.53813830775,1.0,0.9999999909618256,2,,14057800.75037007,False,True
3264,,,,,0.9915879324906152,274286.53813830775,1.0,0.9999999909618256,1,,19173593.03189338,False,True
3296,,,,,0.48440710861946856,2801737.952162022,1.0,0.9999999995793939,4,,1000000.0,True,True
3440,,,,,0.48506244004727195,2683559.1621866105,1.0,0.9999999875927282,5,,1000000.0,True,True
3480,,,,,0.9999981824335565,59.14972567481493,1.0,0.999999988300998,0,,13953032.820814634,False,True
3480,,,,,0.9826829849095914,564644.1586182424,1.0,0.9999999925063431,1,,15018829.181929164,False,True
3536,,,,,0.9999981569419765,60.00254788912208,1.0,0.9999999905127105,0,,17424735.862658966,False,True
3536,,,,,0.9905537201895283,60.00254788912208,1.0,0.9685185346711241,0,,17611437.20079942,False,True
3536,,,,,0.9913713354370297,281348.9675067661,1.0,0.9999999904450836,1,,14638335.212231763,False,True
3536,,,,,0.9920826697673528,258154.96750676606,1.0,0.9999999904450836,1,,19899306.493755072,False,True
3640,,,,,0.9924459292018996,678658.9066155966,1.0,0.9999999789375773,0,,1000000.0,False,True
3752,,,,,0.9920826625403119,258155.143394399,1.0,0.9999999853342746,1,,14952973.671088958,False,True
3752,,,,,0.9999981739215247,59.28322651983097,1.0,0.999999973575397,0,,15454185.023310922,False,True
3784,,,,,0.4942160983359028,1039087.6294071858,1.0,0.999999973971624,1,,1000000.0,True,True
3808,,,,,0.9751923994945507,516250.881678557,1.0,0.9700841451425642,1,,18424675.860111076,False,True
3808,,,,,0.9999981882400618,58.88167855702433,1.0,0.9999999802534917,0,,18611377.19825153,False,True
3808,,,,,0.9950509732573846,161369.43158927976,1.0,0.9999999842324097,1,,15356986.244724996,False,True
3808,,,,,0.9999981725686037,59.431589279769206,1.0,0.9999999842324097,0,,20641151.526248306,False,True
3984,,,,,0.9866554341287319,1198878.8706049782,1.0,0.999999999057229,1,,1321341.0933844033,False,True
4024,,,,,0.9866407323737261,435596.4376221745,1.0,0.9999999796851687,2,,15694818.527694559,False,True
