timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
272,,,,,0.054042918943297574,5266825.415921203,0.936564366101567,0.0911038671868476,17,,1500000.0,True,
272,,,,,0.045012089210522445,2721557.4830159135,0.5156278886335606,0.09112298628563435,13,,1500000.0,True,
272,,,,,0.05025569874148694,3764076.4223719393,0.6924270039623337,0.13675417157094874,17,,1500000.0,True,
272,,,,,0.05370282942197766,5451031.083015914,0.8498713233647504,0.2141895396601138,22,,1500000.0,True,
272,,,,,0.053769055697449254,3908605.5726654115,0.82552786407389,0.09117343140753514,18,,1500000.0,True,
272,,,,,0.06022622740455902,4807743.422371939,0.9584329630668298,0.22112422798436057,20,,1500000.0,True,
272,,,,,0.0683397359022908,5500587.270013597,0.9916760846075884,0.5180795598986363,21,,1500000.0,True,
272,,,,,0.05532490528151399,4021032.3706874982,0.8658438808501945,0.10077374366790662,17,,1500000.0,True,
544,,,,,0.09113787473610507,2889613.3204109757,1.0,0.9999999856600702,13,,500000.0,True,
544,,,,,0.06357830108342488,2827244.8182540247,0.9570930675578044,0.13218085591995876,12,,500000.0,True,
544,,,,,0.06936803865637999,1562664.320410976,0.8509132945395799,0.33746752385265144,9,,500000.0,True,
544,,,,,0.06499069277445606,3658728.018254025,0.9828685718414201,0.22989547495054902,12,,500000.0,True,
544,,,,,0.08662828709550799,3119985.2875936623,0.999817651883878,0.8734743742551871,13,,500000.0,True,
544,,,,,0.06642599128040096,2015221.8249719408,0.9688424817040182,0.1284251670201241,7,,500000.0,True,
544,,,,,0.07582675175659533,3801535.225813186,0.9844801750500172,0.6035477837180919,12,,500000.0,True,
816,,,,,0.9852328271860324,481503.11558935087,1.0,0.99999998605767,3,,500000.0,False,
816,,,,,0.07383201414200022,1785072.615589351,0.9494396700132011,0.3776349284594142,4,,500000.0,True,
816,,,,,0.09569350784849993,1404188.804409523,1.0,0.999999989133002,5,,500000.0,True,
816,,,,,0.0553714963023368,4173028.283015914,0.8784814105827865,0.10101520937340903,17,,1500000.0,True,
816,,,,,0.08211712264075688,1812851.2744309143,0.9942070329566138,0.596955197090624,8,,500000.0,True,
816,,,,,0.07754735468742949,1078379.8155893509,0.9992242295045157,0.36285524747788667,3,,500000.0,True,
816,,,,,0.08071375497713361,2274686.6983666876,0.9920449351888203,0.6002723497843393,10,,500000.0,True,
1088,,,,,0.0974867778283657,819469.4162615465,1.0,1.0,3,,518496.88441064913,True,
1088,,,,,0.056089135734569195,5216788.27266541,0.8843543237552355,0.22380921728218708,19,,1500000.0,True,
1088,,,,,0.08180440155736021,839835.8287937791,0.9950683422225218,0.4859117192473746,4,,500000.0,True,
1088,,,,,0.09738841481964683,851541.8729205691,1.0,0.9999999867724637,3,,500000.0,True,
1088,,,,,0.07634574703102918,3828289.018254025,0.9992941652512332,0.6038306536725895,14,,500000.0,True,
1088,,,,,0.09510439885833041,1596275.5287940025,1.0,0.9999999854047433,5,,500000.0,True,
1088,,,,,0.09679770019744215,1044152.1742087016,1.0,0.999999990491365,3,,500000.0,True,
