timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
34,,,,,0.4983561424193772,3159120.40940799,0.6163420133288664,0.1537316048303722,17,
68,,,,,0.47990550802158344,3309216.6116218143,0.6128020546411583,0.08730825014740559,16,
102,,,,,0.6553491892913954,4940847.516864807,0.9702113482116774,0.45353017478423074,18,
136,,,,,0.5832149085818775,5558837.645731113,0.9394343424345192,0.231611645129201,20,
170,,,,,0.5620302600263702,4403181.681672044,0.8795716758332659,0.10105004812961976,21,
204,,,,,0.5485751251474253,3632166.978029865,0.8046446681003199,0.08731382398883847,15,
238,,,,,0.5480599263185293,3929920.6781248515,0.8184835666623475,0.09425521466539241,18,
272,,,,,0.6158228666079582,5276713.267658812,0.9488511200448249,0.3405750878287383,20,
307,,,,,0.4637187726576394,4602931.219706306,0.6330205045466515,0.09394318094131927,17,
342,,,,,0.462771237959762,4464749.9590214,0.624296185958169,0.09040148555748599,20,
377,,,,,0.5727339118190234,4261770.299803786,0.8868505138379842,0.09123199715992006,19,
411,,,,,0.5280109042695252,4666840.516948224,0.7470748747384579,0.22888294513500382,19,
446,,,,,0.5771332977710577,4444015.348828526,0.8460290965251398,0.2163071592711082,20,
481,,,,,0.5087699164482599,6271335.283178857,0.8386836050389503,0.10410807653130981,23,
516,,,,,0.4736922497151317,5568063.411071329,0.6518729794397111,0.21962310931858306,18,
551,,,,,0.23827145608334388,4340900.839948041,0.0,0.20192798720712618,20,
586,,,,,0.5339172023805638,4888005.401145243,0.8267073811065994,0.0910915959091745,18,
621,,,,,0.5137954694292235,3752736.0208316008,0.7094171747436908,0.09153458981282284,16,
656,,,,,0.5545692946161749,6716344.320248556,0.9232970547653025,0.21621940135829448,25,
691,,,,,0.5635954073808571,6450703.304682683,0.9059390151536602,0.2648217181556192,22,
726,,,,,0.5445860526628128,5116469.1443006275,0.8722489756082892,0.08022428624487296,20,
761,,,,,0.5589319882491242,5328801.87372995,0.9137683584308607,0.09388942910660296,20,
795,,,,,0.5751200028034825,5632892.119598911,0.931991641336588,0.21527333701309814,22,
830,,,,,0.4452873779313773,4573164.729266427,0.5925294997246141,0.07926710252472288,17,
865,,,,,0.543018279081851,5280853.746453263,0.8635523258330515,0.10911340400292775,20,
900,,,,,0.20341765680097018,4774522.53994747,0.0,0.07866100602899767,21,
935,,,,,0.5219025723247526,5468032.174581296,0.8293873660230009,0.09388041074881585,19,
971,,,,,0.49547691945239364,4894092.042111671,0.706386252324557,0.10637010846148467,20,
1007,,,,,0.4966733645700381,6044776.833879891,0.7883702785527145,0.07576084641273577,22,
1043,,,,,0.5763149330840329,6905747.084135897,0.9807289349055165,0.18455762878651125,25,
1079,,,,,0.5186504790270163,5437341.912625979,0.743646763299919,0.20785259326317912,20,
1115,,,,,0.5311901445540046,4882693.622296697,0.8012747208552076,0.09389755288204095,20,
1151,,,,,0.5696998046172368,5031456.750363071,0.8569974683643765,0.19146786240423042,20,
1185,,,,,0.5469587702106262,4768163.927683012,0.8701444509410983,0.0901403852659371,20,
1221,,,,,0.1866722442904847,5947294.560578571,0.0,0.09170486521725642,20,
