timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes
43,,,,,0.7524322824658987,13259453.932746291,1.0,0.9999999942911442,30,
86,,,,,0.7608178043598868,12476212.06133879,1.0,0.9999999811885263,29,
129,,,,,0.7623005008883332,12374462.073118774,1.0,0.9999999992738293,28,
172,,,,,0.7545990858132879,13025600.94110354,1.0,0.9999999864623286,28,
215,,,,,0.7095422064913124,11665934.499886606,0.9852064270659373,0.7333899816328912,30,
258,,,,,0.7363471216026654,14662994.198500639,1.0,0.9999999808212979,32,
301,,,,,0.7667617063921018,11889965.424242266,1.0,0.9999999827022694,28,
344,,,,,0.755167177763482,12989750.662955776,1.0,0.9999999587390234,32,
387,,,,,0.7428843103080875,14129694.822446251,1.0,0.9999999854995589,34,
430,,,,,0.7247500285698073,15713622.874556502,1.0,0.9999999906510486,33,
473,,,,,0.544509717635376,13377460.206116755,0.9530536842384532,0.059628354139036985,30,
516,,,,,0.7255351897116342,15627541.859482158,1.0,0.9999999969135017,33,
559,,,,,0.7529449569639752,13205315.014370581,1.0,0.9999999959652641,30,
602,,,,,0.7598522292151372,12482919.136895848,1.0,0.9999999686102161,30,
645,,,,,0.7379422716251398,14528940.008248122,1.0,0.9999999884114688,33,
688,,,,,0.6338870356204978,8617316.117498891,0.962600371371272,0.22243794623293983,19,
731,,,,,0.7471157268379149,13739406.318929942,1.0,0.9999999831260045,28,
776,,,,,0.7515817687783539,13906662.793532543,1.0,0.9999999801267029,30,
821,,,,,0.7319805330266218,15704913.071664024,1.0,0.999999990166424,35,
866,,,,,0.7618508912052213,12945261.707912678,1.0,0.9999999905174924,31,
911,,,,,0.6899875122045814,14455893.708737865,0.9942484968366149,0.7341268799015365,34,
956,,,,,0.37269663084493504,13035768.557853518,0.49687961302526196,0.06443637744424668,32,
999,,,,,0.21888447659519047,12053593.400915392,0.10522080134608103,0.05516696684413316,30,
1044,,,,,0.44823197609519116,15038972.201470718,0.7411419388097129,0.061728695551258476,33,
1089,,,,,0.757404513629276,13387393.597218044,1.0,0.9999999813017503,30,
1134,,,,,0.7492802915256924,14111806.644578489,1.0,0.9999999830276135,33,
1179,,,,,0.755606489810261,13532951.04472424,1.0,0.9999999974228001,31,
1224,,,,,0.7502581936177665,14021800.353010854,1.0,0.9999999926961882,31,
1269,,,,,0.5199151549092987,15902910.250386564,0.9417919917550959,0.06562854657664881,35,
1314,,,,,0.7305977669654683,15859910.658684282,1.0,0.9999999965390636,37,
1359,,,,,0.7260585876183528,16332338.262828052,1.0,0.9999999504593685,34,
1404,,,,,0.7367445099556876,15303188.589473419,1.0,0.9999999892725281,33,
1449,,,,,0.7679669212836362,12336865.783653272,1.0,0.9999999632690061,28,
1492,,,,,0.7434721567666283,14033905.268378155,1.0,0.9999999755960811,28,
1537,,,,,0.720569182072361,16811725.41389122,1.0,1.0,37,
1582,,,,,0.7483731603294616,14246574.61637391,1.0,0.9999999983837352,32,
1627,,,,,0.7398340633992913,15009329.327455651,1.0,0.9999999751436726,32,
1672,,,,,0.7504140716644874,14030343.71489676,1.0,0.9999999935834011,31,
1717,,,,,0.7632337326935054,12817213.631624646,1.0,0.9999999938391216,29,
1762,,,,,0.7104675263911252,17799509.196481295,1.0,0.9999999999509236,38,
1807,,,,,0.7513490960081778,13921526.667193575,1.0,0.9999999914831887,31,
1852,,,,,0.521618372056775,14720173.262148635,0.912431852835114,0.06664285902271165,36,
1897,,,,,0.749122602136922,14131932.518154625,1.0,1.0,32,
1942,,,,,0.4736352772174408,13107850.244786782,0.749677388075271,0.0664906404847931,28,
1985,,,,,0.7422586523615416,14165755.745777007,1.0,0.9999999999107934,31,
2032,,,,,0.7527848595862845,14516457.963044843,1.0,0.9999999921551178,34,
2075,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.7557304190664051,12943188.229672553,1.0,0.9999999970134351,28,
2118,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.7366316628694054,14681814.250371117,1.0,0.9999999978810529,35,
2161,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.7240463585101643,15767968.36551998,1.0,0.9999999858638482,35,
2204,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.705170107628886,17520744.30664045,1.0,0.9999999908461549,35,
2247,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.738490770407173,14512654.10821417,1.0,0.9999999942911442,30,
2290,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.7292214107161474,15309009.237327468,1.0,0.9999999811885263,33,
2333,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.7463429098087969,13802199.77239102,1.0,0.9999999992738293,32,
2376,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.7626294041507609,12306664.247072723,1.0,0.9999999864623286,24,
2419,,0.01233401708304882,0.1041015625,-1.9355966500937938,0.718655710330925,16314035.687726162,1.0,0.999999999669629,32,
