pipe_name,original_diameter,ga_diameter,drl_diameter,ga_change,drl_change
1,0.3048,0.3048,0.3048,0.0,0.0
11,0.3048,0.3048,0.3048,0.0,0.0
110,0.3048,0.3048,1.016,0.0,0.7112
113,0.3048,0.3048,1.016,0.0,0.7112
114,0.3048,0.3048,1.016,0.0,0.7112
115,0.3048,0.3048,1.016,0.0,0.7112
116,0.3048,0.508,1.016,0.2032,0.7112
12,0.3048,0.3048,0.3048,0.0,0.0
125,0.3048,0.3048,1.016,0.0,0.7112
142,0.3048,0.3048,1.016,0.0,0.7112
143,0.3048,0.3048,1.016,0.0,0.7112
17,0.3048,0.3048,0.3048,0.0,0.0
18,0.3048,0.3048,1.016,0.0,0.7112
19,0.3048,0.762,1.016,0.4572,0.7112
2,0.3048,0.6096,0.3048,0.3048,0.0
20,0.3048,0.3048,1.016,0.0,0.7112
21,0.3048,0.508,1.016,0.2032,0.7112
22,0.3048,0.3048,1.016,0.0,0.7112
23,0.3048,0.3048,1.016,0.0,0.7112
24,0.3048,0.6096,1.016,0.3048,0.7112
26,0.3048,0.3048,1.016,0.0,0.7112
27,0.3048,0.3048,1.016,0.0,0.7112
28,0.3048,0.508,1.016,0.2032,0.7112
29,0.3048,0.6096,1.016,0.3048,0.7112
3,0.3048,0.762,0.3048,0.4572,0.0
30,0.3048,0.3048,1.016,0.0,0.7112
31,0.3048,0.3048,1.016,0.0,0.7112
32,0.3048,0.3048,1.016,0.0,0.7112
33,0.3048,0.508,1.016,0.2032,0.7112
34,0.3048,0.4064,1.016,0.10159999999999997,0.7112
35,0.3048,0.3048,1.016,0.0,0.7112
36,0.3048,0.6096,1.016,0.3048,0.7112
37,0.3048,0.6096,1.016,0.3048,0.7112
38,0.3048,0.508,1.016,0.2032,0.7112
39,0.3048,0.508,1.016,0.2032,0.7112
4,0.762,0.762,0.762,0.0,0.0
40,0.3048,0.4064,1.016,0.10159999999999997,0.7112
41,0.3048,0.3048,1.016,0.0,0.7112
5,0.3048,0.3048,0.3048,0.0,0.0
6,0.3048,0.3048,0.3048,0.0,0.0
7,0.3048,0.3048,0.3048,0.0,0.0
8,0.3048,0.3048,0.3048,0.0,0.0
9,0.3048,0.3048,0.3048,0.0,0.0
pipe_26_11,0.01,0.762,1.016,0.752,1.006
pipe_26_12,0.01,0.6096,1.016,0.5996,1.006
pipe_28_4,0.01,0.508,1.016,0.498,1.006
pipe_28_5,0.01,0.6096,1.016,0.5996,1.006
