pipe_name,original_diameter,ga_diameter,drl_diameter,ga_change,drl_change
1,1.016,0.6096,1.016,-0.4064,0.0
10,1.016,0.4064,1.016,-0.6096,0.0
11,1.016,0.6096,1.016,-0.4064,0.0
12,1.016,0.3048,1.016,-0.7112,0.0
13,0.3048,0.3048,0.3048,0.0,0.0
14,0.3048,0.3048,0.3048,0.0,0.0
15,0.3048,0.508,0.3048,0.2032,0.0
16,0.3048,0.3048,0.3048,0.0,0.0
17,0.3048,0.3048,0.3048,0.0,0.0
18,0.3048,0.3048,0.3048,0.0,0.0
19,0.3048,0.4064,0.3048,0.10159999999999997,0.0
2,1.016,0.508,1.016,-0.508,0.0
20,0.3048,0.3048,0.3048,0.0,0.0
21,1.016,0.762,1.016,-0.254,0.0
22,1.016,0.4064,1.016,-0.6096,0.0
23,0.3048,0.3048,0.3048,0.0,0.0
24,0.3048,0.3048,0.3048,0.0,0.0
25,0.3048,0.3048,0.3048,0.0,0.0
26,0.3048,0.3048,0.3048,0.0,0.0
27,0.3048,0.6096,0.3048,0.3048,0.0
28,0.3048,0.4064,0.3048,0.10159999999999997,0.0
29,0.3048,0.508,0.3048,0.2032,0.0
3,0.3048,0.3048,0.3048,0.0,0.0
30,0.3048,0.3048,0.3048,0.0,0.0
31,0.3048,0.3048,0.3048,0.0,0.0
32,0.3048,0.3048,0.3048,0.0,0.0
33,0.3048,0.3048,0.4064,0.0,0.10159999999999997
34,0.3048,0.3048,0.4064,0.0,0.10159999999999997
4,0.3048,0.3048,0.3048,0.0,0.0
5,0.3048,0.3048,0.3048,0.0,0.0
6,0.3048,0.508,0.3048,0.2032,0.0
7,0.3048,0.3048,0.3048,0.0,0.0
8,0.3048,0.3048,0.3048,0.0,0.0
9,0.3048,0.4064,0.3048,0.10159999999999997,0.0
pipe_33_13,0.01,0.3048,0.4064,0.2948,0.3964
pipe_35_33,0.01,0.3048,0.4064,0.2948,0.3964
pipe_37_31,0.01,0.3048,0.4064,0.2948,0.3964
pipe_37_35,0.01,0.3048,0.4064,0.2948,0.3964
