,n_junctions,n_pipes,status
0,5,5,success
1,5,5,success
2,5,5,success
3,5,5,success
4,5,5,success
5,5,5,success
6,5,5,success
7,5,5,success
8,5,5,success
9,5,5,success
10,6,6,success
11,6,6,success
12,6,6,success
13,6,6,success
14,6,6,success
15,6,6,success
16,6,6,success
17,6,6,success
18,6,6,success
19,6,6,success
20,6,6,success
21,7,7,success
22,8,8,success
23,9,9,success
24,9,9,success
25,10,10,success
26,10,10,success
27,10,10,success
28,10,10,success
29,10,10,success
30,10,10,success
31,10,10,success
32,10,10,success
33,10,10,success
34,11,11,success
35,11,11,success
36,11,11,success
37,11,11,success
38,11,11,success
39,11,11,success
40,11,11,success
41,11,11,success
42,11,11,success
43,11,11,success
44,11,11,success
45,11,11,success
46,12,12,success
47,12,12,success
48,12,12,success
49,12,12,success
50,12,12,success
