timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
6,0.29716136818587535,0.0,0.0,0.0,0.29716136818587535,1.0,1841502.8717977763,5854.378805541992,0.05568966549703714,658497.1282022237,True,0.13660114871911053,0.16056021946676483,0.0
12,0.6210213526835102,0.0,0.0,0.0,0.6210213526835102,0.0,1836681.7598598474,3234.9525436401373,0.05568966549703714,4821.1119379288575,True,0.39807155522482845,0.2229497974586817,0.0
18,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
24,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
30,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
36,0.4230993019721263,0.0,0.0,0.0,0.4230993019721263,0.0,2497339.1348966784,1522.604463653564,0.08054549337818341,2660.8651033217766,True,0.3989356539586713,0.0,0.02416364801345502
48,0.059001641749363364,0.0,0.0,0.0,0.059001641749363364,1.0,1025795.1752237465,12723.005773925779,0.05662080307550083,894961.4979332172,True,0.042015400826713116,0.0,0.016986240922650248
54,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
60,0.0,0.0,0.0,0.0,0.0,1.0,1315137.6556847228,14067.763830566402,0.05662080307550083,1184862.3443152772,True,0.0,0.0,0.0
66,0.3880330486519251,0.0,0.0,0.0,0.3880330486519251,1.0,566094.145307885,1253.532207565307,0.10685976078704565,749043.5103768378,True,0.10038259584926489,0.27167417585845954,0.015976276944200698
72,0.6885080461295343,0.0,0.0,0.0,0.6885080461295343,0.0,561273.0334395834,1130.2387619781496,0.10685976078704565,4821.111868301654,True,0.39807155525267934,0.27446021393265435,0.015976276944200698
90,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
96,0.7382331315603198,0.0,0.0,0.0,0.7382331315603198,0.0,2495190.6012506965,365.66666965484615,0.20931138086119683,4809.3987493036975,True,0.3980762405002785,0.2914278817993844,0.048729009260656785
108,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
114,0.10038423349041384,0.0,0.0,0.0,0.10038423349041384,1.0,1750960.5837260345,12843.258703613279,0.05568966549703714,749039.4162739654,True,0.10038423349041384,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
126,0.27794671665421145,0.0,0.0,0.0,0.27794671665421145,1.0,1600514.4889481757,2702.8193201065064,0.05628353938406987,899485.5110518243,True,0.04020579557927029,0.23774092107494116,0.0
132,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
138,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
144,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
150,0.3697593730216905,0.0,0.0,0.0,0.3697593730216905,1.0,1841522.7594001764,2851.654379272461,0.0559730550523121,658477.2405998236,True,0.13660910376007057,0.23315026926161989,0.0
156,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
168,0.04020579564462157,0.0,0.0,0.0,0.04020579564462157,1.0,1595677.9381525433,13276.212561035154,0.05603669618078265,899485.5108884461,True,0.04020579564462157,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
192,0.36069168623888936,0.0,0.0,0.0,0.36069168623888936,1.0,1841529.192063757,3250.2002662658697,0.05603669618078265,658470.807936243,True,0.1366116768255028,0.22408000941338657,0.0
198,0.6106386584855501,0.0,0.0,0.0,0.6106386584855501,1.0,1264953.9177257884,191.73037071228023,0.5146370803444378,576575.2743379684,True,0.16936989026481264,0.29552145506517735,0.14574731315556005
204,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
216,0.45789544524833803,0.0,0.0,0.0,0.45789544524833803,1.0,1346830.2729396494,792.780198888779,0.07902968801862167,576592.58296798,True,0.16936296681280802,0.28111753601603306,0.007414942419496935
222,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
234,0.2835155239184092,0.0,0.0,0.0,0.2835155239184092,1.0,701033.5358089649,2170.842248992919,0.08217523414059591,899470.0719703564,True,0.04021197121185743,0.23548716604585948,0.007816386660692263
240,0.7011830616083573,0.0,0.0,0.0,0.7011830616083573,0.0,696186.103675615,694.6366927719118,0.13227449978543065,4847.432133349796,True,0.3980610271466601,0.27935686868079107,0.023765165780906147
246,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
252,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
258,0.2960451273935695,0.0,0.0,0.0,0.2960451273935695,1.0,1315157.5434297533,1299.8631780242915,0.13227449978543065,1184842.4565702467,True,0.0,0.2722799616126633,0.023765165780906147
264,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
276,0.7566927376424976,0.0,0.0,0.0,0.7566927376424976,0.0,1595715.632063669,290.2529249000549,0.2615689021794565,4807.863287756499,True,0.3980768546848974,0.2934412109575905,0.0651746720000096
282,0.3119688301947092,0.0,0.0,0.0,0.3119688301947092,1.0,410874.29046871327,514.0388243293762,0.13078445108972825,1184841.3415949557,True,0.0,0.2883843643968601,0.023584465797849126
288,0.3941276440338891,0.0,0.0,0.0,0.3941276440338891,1.0,396193.400553436,14068.481665039058,0.05662080307550083,14680.88991527728,True,0.3941276440338891,0.0,0.0
294,0.4037725128587948,0.0,0.0,0.0,0.4037725128587948,0.0,391361.7625841953,13023.735815429685,0.05662080307550083,4831.63796924071,True,0.39806734481230377,0.005705168046491027,0.0
300,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
306,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
318,0.34821250018566535,0.0,0.0,0.0,0.34821250018566535,1.0,851481.5051923423,689.3788964843752,0.13078445108972825,899485.5110249858,True,0.04020579559000566,0.2844222387978106,0.023584465797849126
324,0.0010821808183012359,0.0,0.0,0.0,0.0010821808183012359,1.0,-333359.8361570287,12797.303808593748,0.05662080307550083,1184841.341349371,True,0.0,0.01082180818301236,0.0
330,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
336,0.2678471876414794,0.0,0.0,0.0,0.2678471876414794,1.0,1750940.6957977763,5864.947927856445,0.05662080307550083,749059.3042022237,True,0.10037627831911054,0.16747090932236888,0.0
342,0.11576875478344008,0.0,0.0,0.0,0.11576875478344008,1.0,1001907.7123004699,12595.499182128904,0.05662080307550083,749032.9834973065,True,0.1003868066010774,0.01538194818236267,0.0
348,0.4951788077596125,0.0,0.0,0.0,0.4951788077596125,1.0,343444.8539925176,292.55112026214596,0.2615689021794565,658462.8583079523,True,0.1366148566768191,0.2933892790827838,0.0651746720000096
354,0.6560685294589715,0.0,0.0,0.0,0.6560685294589715,1.0,333852.67574124446,2111.0411816406245,0.08054549337818341,9592.178251273104,True,0.3961631286994908,0.2522972119058323,0.007608188853648421
366,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
372,0.22088912290138565,0.0,0.0,0.0,0.22088912290138565,1.0,1315137.6558628364,3709.7104515075694,0.05662080307550083,1184862.3441371636,True,0.0,0.22088912290138565,0.0
378,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
384,0.4426893626889287,0.0,0.0,0.0,0.4426893626889287,1.0,1315159.176817144,129.61147518157958,0.5148552208502947,1184840.823182856,True,0.0,0.29691305149681557,0.14577631119211315
390,0.5283354053822675,0.0,0.0,0.0,0.5283354053822675,1.0,739680.9243897448,269.251235525608,0.26056495444654654,575478.2524273993,True,0.1698086990290403,0.2935872599449863,0.06493944640824091
402,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
420,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
426,0.44331027052999655,0.0,0.0,0.0,0.44331027052999655,1.0,1923417.5383127255,1131.1872014045716,0.05628353938406987,576582.4616872745,True,0.1693670153250902,0.27394325520490637,0.0
432,0.36912093095945725,0.0,0.0,0.0,0.36912093095945725,1.0,1174384.554342369,2051.2992916870107,0.10656955714404673,749032.9839703564,True,0.10038680641185743,0.2527485971592706,0.015985527388329212
438,0.6402007575900979,0.0,0.0,0.0,0.6402007575900979,1.0,274886.4483176139,0.0,1.0,899498.1060247552,True,0.04020075759009792,0.3,0.3
444,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
450,0.6731606116897458,0.0,0.0,0.0,0.6731606116897458,0.0,2499408.256529835,1134.809059524536,0.0559730550523121,591.7434701651299,True,0.399763302611934,0.27339730907781185,0.0
456,0.35924575317582486,0.0,0.0,0.0,0.35924575317582486,1.0,1840932.1309254975,3300.160028839112,0.0559730550523121,658476.1256043374,True,0.13660954975826503,0.22263620341755982,0.0
462,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
468,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
474,0.25641533161152164,0.0,0.0,0.0,0.25641533161152164,1.0,1315158.658204869,2219.3669262695307,0.0799964594632964,1184841.341795131,True,0.0,0.2488771818380982,0.007538149773423453
480,0.3958039489661371,0.0,0.0,0.0,0.3958039489661371,1.0,420500.0440126847,0.0,0.22510621846067125,894658.6141921842,True,0.04213655432312633,0.3,0.053667394643010714
486,0.7688620269456183,0.0,0.0,0.0,0.7688620269456183,0.0,420461.6029681252,421.776650390625,0.3035151429437018,38.44104455950231,True,0.39998462358217624,0.2902844316784068,0.07859297168503535
492,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
504,0.031396560238775816,0.0,0.0,0.0,0.031396560238775816,1.0,415683.3781783881,12595.499182128904,0.05762192954310187,1184836.0234973065,True,0.0,0.031396560238775816,0.0
510,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
516,0.0,0.0,0.0,0.0,0.0,,,,,,False,,,
522,0.10038423349041384,0.0,0.0,0.0,0.10038423349041384,1.0,1750960.5837260345,12843.258703613279,0.05568966549703714,749039.4162739654,True,0.10038423349041384,0.0,0.0
