timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
100,0.09980826,0.0,0.0,0.0,0.09980825915512673,0,-948403.4261534286,0.0,1.0,4793.521121832249,True,0.39808259155126713,0.3,0.3,0,0
111,0.0,0.0,0.0,0.0,0.0,0,-1001132.1584935827,0.0,1.0,4793.521121832249,True,0.39808259155126713,0.3,0.3,0,0
200,0.09980641,0.0,0.0,0.0,0.09980641388419323,0,-913971.4966036665,0.0,1.0,4839.652895169665,True,0.39806413884193215,0.3,0.3,0,0
216,0.0,0.0,0.0,0.0,0.0,0,-1001256.1710789105,0.0,1.0,4840.701054702772,True,0.3980637195781189,0.3,0.3,0,0
300,0.09981617,0.0,0.0,0.0,0.09981617507806062,0,-941253.2574483817,0.0,1.0,4595.623048484654,True,0.3981617507806061,0.3,0.3,0,0
331,0.0,0.0,0.0,0.0,0.0,0,-1001134.4661266744,0.0,1.0,4858.26555467864,True,0.3980566937781286,0.3,0.3,0,0
400,0.09981616,0.0,0.0,0.0,0.0998161613928333,0,-894899.8424637554,0.0,1.0,4595.965179167553,True,0.398161613928333,0.3,0.3,0,0
442,0.0,0.0,0.0,0.0,0.0,0,-1001149.8791325124,354.5859645843505,0.05587737687575475,4824.708946253044,True,0.3980701164214988,0.29171738327241065,0.0,0,0
500,0.099812776,0.0,0.0,0.0,0.09981277842268475,0,-937201.1498520197,0.0,1.0,4680.53943288143,True,0.39812778422684747,0.3,0.3,0,0
512,0.0,0.0,0.0,0.0,0.0,1,-1003205.4106413549,0.0,1.0,14518.32702763975,True,0.39419266918894413,0.3,0.3,1,6
589,0.0,0.0,0.0,0.0,0.0,0,-1004228.2540806097,0.0,1.0,4607.71017758776,True,0.3981569159289649,0.3,0.3,1,0
600,0.6771459,0.0,0.0,0.0,0.6771458717469566,1,14422869.233061181,40.76402652740479,0.5562835393842648,452152.9510899747,True,0.21913881956401016,0.29906100614051667,0.15894604604242976,2,5
657,0.0,0.0,0.0,0.0,0.0,0,-1001139.423449335,0.0,1.0,4676.143489252161,True,0.39812954260429917,0.3,0.3,2,0
700,0.801975,0.0,0.0,0.0,0.8019750355670967,1,6479191.902183641,0.0,1.0,495062.41108225833,True,0.20197503556709667,0.3,0.3,3,3
767,0.0,0.0,0.0,0.0,0.0,0,-1002886.0709811541,0.0,1.0,4787.456871616186,True,0.39808501725135353,0.3,0.3,3,0
