timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
91,0,0.0,0.0,0.0,0.0,1,-10268790.3,15448.693,1.9116463524446848e-07,854943.0,True,0.3048352333333333,0.33111118789141375,1.282987267708801e-07
169,0,0.0,0.0,0.0,0.0,1,-10211135.3,23521.395,1.9116463524446848e-07,306489.0,True,0.3231170333333333,0.329950007610023,1.282987267708801e-07
249,0,0.0,0.0,0.0,0.0,1,-10364329.8,17650.832,-3.1968923758401864e-07,1129170.0,True,0.2956943333333333,0.33076562903200585,0.0
307,0,0.0,0.0,0.0,0.0,1,-10030374.2,20783.637,1.4672357737607234e-07,396822.6,True,0.3201059133333333,0.33044487703591585,0.0
387,0,0.0,0.0,0.0,0.0,1,-11086096.999999998,81771.03,1.9116463524446848e-07,1129170.0,True,0.2956943333333333,0.32157135879000026,1.282987267708801e-07
451,0,0.0,0.0,0.0,0.0,1,-10369835.3,19797.164,-1.4921014094110276e-07,645240.0,True,0.3118253333333333,0.330482032460471,0.0
523,0,0.0,0.0,0.0,0.0,1,-10340424.1,11920.441,1.601831479125174e-07,371013.0,True,0.3209662333333333,0.33158179915820557,9.870896895435473e-09
605,0,0.0,0.0,0.0,0.0,1,-10157537.5,2611.997,1.9116463524446848e-07,161310.0,True,0.3279563333333333,0.3329576227503518,1.282987267708801e-07
669,0,0.0,0.0,0.0,0.0,1,-10313303.2,527.25006,-3.664067308330631e-07,357420.0,True,0.3214193333333333,0.33325586166271626,0.0
742,0,0.0,0.0,0.0,0.0,1,-10298317.6,25407.77,3.2397060899103326e-08,354670.0,True,0.321511,0.32999915288140375,0.0
789,0,0.0,0.0,0.0,0.0,1,-10184943.6,113349.41,-1.4921014094110276e-07,258096.0,True,0.32473013333333334,0.3170081041753292,0.0
861,0,0.0,0.0,0.0,0.0,1,-10155383.3,315908.66,3.2397060899103326e-08,371013.0,True,0.3209662333333333,0.2918776497244835,0.0
926,0,0.0,0.0,0.0,0.0,1,-10129876.0,33409.406,3.339570737016317e-07,391360.0,True,0.320288,0.32847319543361664,4.6367547787880726e-08
989,0,0.0,0.0,0.0,0.0,1,-10044632.799999999,48953.35,-3.727261717047468e-08,234480.0,True,0.3255173333333333,0.3262918659796317,5.2152990717735804e-08
1069,0,0.0,0.0,0.0,0.0,1,-10630436.7,72415.09,1.601831479125174e-07,856100.0,True,0.30479666666666666,0.3226929965118567,9.870896895435473e-09
1134,0,0.0,0.0,0.0,0.0,1,-10136195.1,73580.055,-3.664067308330631e-07,285936.0,True,0.3238021333333333,0.32252182314793265,0.0
1198,0,0.0,0.0,0.0,0.0,1,-10206892.2,527.25006,-3.727261717047468e-08,406940.0,True,0.31976866666666665,0.33325749349993805,5.2152990717735804e-08
1278,0,0.0,0.0,0.0,0.0,1,-10387937.299999999,382398.44,3.2397060899103326e-08,1129170.0,True,0.2956943333333333,0.28315241138140357,0.0
1358,0,0.0,0.0,0.0,0.0,1,-10585168.3,4240.9126,2.2403036548552096e-07,712145.0,True,0.30959516666666664,0.3327439421943078,1.1228362662782058e-08
1433,0,0.0,0.0,0.0,0.0,1,-10026863.9,11882.221,1.9116463524446848e-07,274227.0,True,0.3241924333333333,0.3316241904782752,1.282987267708801e-07
1517,0,0.0,0.0,0.0,0.0,1,-10500566.7,594055.25,2.2403036548552096e-07,555473.1,True,0.31481756333333333,0.25077306230862934,1.1228362662782058e-08
1601,0,0.0,0.0,0.0,0.0,1,-10820154.899999999,42168.945,1.601831479125174e-07,880752.6,True,0.3039749133333333,0.3271372249970833,9.870896895435473e-09
1659,0,0.0,0.0,0.0,0.0,1,-10133326.6,527.25006,1.4672357737607234e-07,396822.6,True,0.3201059133333333,0.3332600574746417,0.0
1734,0,0.0,0.0,0.0,0.0,1,-10013003.3,50269.96,1.9116463524446848e-07,274227.0,True,0.3241924333333333,0.32610248463849223,1.282987267708801e-07
1798,0,0.0,0.0,0.0,0.0,1,-10320507.999999998,45688.586,-3.727261717047468e-08,645240.0,True,0.3118253333333333,0.3267614711076021,5.2152990717735804e-08
1856,0,0.0,0.0,0.0,0.0,1,-10253493.499999998,8656.17,-3.727261717047468e-08,396822.6,True,0.3201059133333333,0.33208822676291067,5.2152990717735804e-08
1929,0,0.0,0.0,0.0,0.0,1,-10083569.0,69802.625,1.601831479125174e-07,354670.0,True,0.321511,0.3230768603583177,9.870896895435473e-09
2014,0,0.0,0.0,0.0,0.0,1,-10040856.299999999,39331.89,1.2760549016355639e-07,312742.5,True,0.3229085833333333,0.32766852962474025,4.2535163387852124e-08
2100,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10022655.2,119778.69,1.2760549016355639e-07,142968.0,True,0.32856773333333333,0.31608212242523825,4.2535163387852124e-08
2167,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10018050.199999997,42491.312,-3.664067308330631e-07,277453.2,True,0.32408489333333335,0.32708985793093837,0.0
2225,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10378654.999999998,527.25006,1.4672357737607234e-07,396822.6,True,0.3201059133333333,0.3332600574746417,0.0
2296,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10160827.9,38971.75,1.9116463524446848e-07,220140.0,True,0.3259953333333333,0.32772762328386307,1.282987267708801e-07
2360,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10187208.8,23099.715,2.2146746067014045e-07,357420.0,True,0.3214193333333333,0.3303020317107439,3.275193228103811e-08
2420,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10073406.4,44164.78,-3.664067308330631e-07,274227.0,True,0.3241924333333333,0.3268439657986164,0.0
2480,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10085776.4,453853.1,-3.664067308330631e-07,207910.0,True,0.326403,0.26664627095063526,0.0
2537,0,0.020879991352558136,-1.9352242164313793,0.156103515625,0.0,1,-10521754.5,35517.15,1.4672357737607234e-07,648190.0,True,0.311727,0.3283972513551513,0.0
